Player,YRS,is_retained,year,Cap_Pct
javale mcgee,1,0,2018,0.0148
dwyane wade,1,1,2018,0.0148
gerald green,1,1,2018,0.0148
derrick rose,1,1,2018,0.0148
jonas jerebko,1,0,2018,0.0148
greg monroe,1,0,2018,0.0006
isaiah thomas,1,0,2018,0.0148
shelvin mack,1,0,2018,0.0148
michael carterwilliams,1,0,2018,0.0006
nik stauskas,1,0,2018,0.0049
bruno caboclo,1,0,2018,0.0051
noah vonleh,1,0,2018,0.0148
luke kornet,1,1,2018,0.0159
jahlil okafor,1,0,2018,0.0154
kevon looney,1,1,2018,0.0148
salah mejri,1,1,2018,0.005
ryan arcidiacono,1,1,2018,0.0132
malcolm miller,1,1,2018,0.0045
klay thompson,5,1,2019,0.3
tobias harris,5,1,2019,0.3
khris middleton,5,1,2019,0.2804
kevin durant,4,0,2019,0.35
kristaps porzingis,5,1,2019,0.25
kemba walker,4,0,2019,0.3
jimmy butler,4,0,2019,0.3
kyrie irving,4,0,2019,0.2908
dangelo russell,4,0,2019,0.25
al horford,4,0,2019,0.2566
kawhi leonard,3,0,2019,0.3
nikola vucevic,4,1,2019,0.2566
harrison barnes,4,1,2019,0.2213
malcolm brogdon,4,0,2019,0.1833
bojan bogdanovic,4,0,2019,0.1558
julius randle,3,0,2019,0.1649
terry rozier,3,0,2019,0.1823
terrence ross,4,1,2019,0.1144999999999999
brook lopez,4,1,2019,0.1108
ricky rubio,3,0,2019,0.1484
jonas valanciunas,3,1,2019,0.1466
thaddeus young,3,0,2019,0.1182
patrick beverley,3,1,2019,0.1131
dewayne dedmon,3,0,2019,0.1222
deandre jordan,4,0,2019,0.0905
cory joseph,3,0,2019,0.11
maxi kleber,4,1,2019,0.0733
rudy gay,2,1,2019,0.1329
seth curry,4,0,2019,0.0684
jeremy lamb,3,0,2019,0.0962
kelly oubre jr,2,1,2019,0.1432
tomas satoransky,3,0,2019,0.0916
alfarouq aminu,3,0,2019,0.0848
george hill,3,1,2019,0.0837
delon wright,2,0,2019,0.0868
jj redick,2,0,2019,0.1235999999999999
tyus jones,3,0,2019,0.0848
trevor ariza,2,0,2019,0.1118
ivica zubac,3,1,2019,0.0594
demarre carroll,3,0,2019,0.0046999999999999
taj gibson,2,0,2019,0.0825
kentavious caldwellpope,2,1,2019,0.0741
elfrid payton,2,0,2019,0.0733
wayne ellington,2,0,2019,0.0733
marcus morris,1,0,2019,0.1374
bobby portis,1,0,2019,0.1374
derrick rose,2,0,2019,0.067
rodney mcgruder,3,1,2019,0.0441
kevon looney,3,1,2019,0.0409
darius miller,2,1,2019,0.0664
jabari parker,2,0,2019,0.0596
ishmael smith,2,0,2019,0.055
dorian finneysmith,3,1,2019,0.0366999999999999
rodney hood,2,1,2019,0.0524
jake layman,3,0,2019,0.0327999999999999
danuel house,3,1,2019,0.0324
trey lyles,2,0,2019,0.0504
daniel theis,2,1,2019,0.0458
mike scott,2,1,2019,0.0437
robin lopez,2,0,2019,0.0437
richaun holmes,2,0,2019,0.0437
jamychal green,2,1,2019,0.0437
ed davis,2,0,2019,0.0437
avery bradley,2,0,2019,0.0437
reggie bullock,2,0,2019,0.0366999999999999
javale mcgee,2,1,2019,0.0366999999999999
patrick mccaw,2,1,2019,0.0366999999999999
stanley johnson,2,0,2019,0.0332
tj mcconnell,2,0,2019,0.0321
boban marjanovic,2,0,2019,0.0321
markieff morris,2,0,2019,0.016
khem birch,2,1,2019,0.0275
quinn cook,2,0,2019,0.0275
ryan arcidiacono,2,1,2019,0.0275
alex caruso,2,1,2019,0.0252
wesley matthews,2,0,2019,0.0235
rajon rondo,2,1,2019,0.0235
vincent poirier,2,0,2019,0.023
frank kaminsky,1,0,2019,0.0437
garrett temple,1,0,2019,0.0437
justin holiday,1,0,2019,0.0437
austin rivers,2,1,2019,0.0199
luke kornet,2,0,2019,0.0206
willie cauleystein,2,0,2019,0.02
mike muscala,2,0,2019,0.0186
matt thomas,3,0,2019,0.0081999999999999
edmond sumner,2,1,2019,0.0183
james ennis,2,1,2019,0.0173
furkan korkmaz,2,1,2019,0.0148
