Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,Type,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
tony parker,33.0,SAS,PG,10.0,10.0,26.4,4.4,9.8,0.449,0.4,1.6,0.25,4.0,8.2,0.488,0.469,1.2,1.4,0.857,0.1,2.1,2.2,5.3,0.6,0.2,1.8,1.5,10.4,2016,Playoffs,14.3,0.499,0.163,0.143,0.5,8.7,4.8,31.4,1.2,0.6,14.7,21.5,0.2,0.3,0.4,0.08,-0.4,-0.3,-0.7,0.1
kyle korver,34.0,ATL,SG,10.0,8.0,31.6,3.5,7.5,0.467,2.4,5.4,0.444,1.1,2.1,0.524,0.627,0.9,0.9,1.0,0.3,4.5,4.8,1.0,1.0,0.4,0.8,2.3,10.3,2016,Playoffs,12.3,0.652,0.72,0.12,1.1,14.6,8.2,4.9,1.6,1.1,9.2,12.3,0.5,0.4,0.8,0.122,-0.6,1.4,0.9,0.2
steven adams,22.0,OKC,C,18.0,18.0,30.7,3.8,6.2,0.613,0.0,0.1,0.0,3.8,6.1,0.618,0.613,2.6,4.1,0.63,3.4,6.1,9.5,0.7,0.5,0.8,0.9,3.1,10.1,2016,Playoffs,16.8,0.636,0.009,0.658,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,1.5,0.6,2.1,0.18,1.5,0.3,1.8,0.5
allen crabbe,23.0,POR,SG,11.0,0.0,27.5,3.5,6.6,0.521,1.4,3.2,0.429,2.1,3.5,0.605,0.623,1.3,1.7,0.737,0.5,2.5,2.9,1.4,0.6,0.1,0.5,2.1,9.5,2016,Playoffs,12.8,0.645,0.479,0.26,1.7,9.4,5.4,7.8,1.2,0.3,6.9,12.4,0.7,0.1,0.7,0.114,0.2,0.2,0.4,0.2
enes freedom,23.0,OKC,C,18.0,0.0,17.9,3.6,6.6,0.551,0.1,0.8,0.143,3.5,5.8,0.606,0.559,2.1,2.5,0.844,2.6,3.6,6.2,0.3,0.3,0.6,0.9,2.2,9.4,2016,Playoffs,22.4,0.617,0.119,0.381,16.5,21.7,19.2,2.6,0.8,2.7,11.0,20.8,1.1,0.4,1.5,0.219,2.9,-1.0,1.9,0.3
harrison barnes,23.0,GSW,SF,24.0,23.0,31.0,3.4,8.9,0.385,1.1,3.2,0.342,2.3,5.7,0.409,0.446,1.1,1.4,0.765,1.1,3.5,4.7,1.3,0.7,0.2,0.8,1.9,9.0,2016,Playoffs,8.6,0.474,0.357,0.16,4.0,12.2,8.2,5.8,1.1,0.4,7.3,14.5,0.2,0.6,0.7,0.047,-1.8,-0.7,-2.4,-0.1
demarre carroll,29.0,TOR,SF,20.0,19.0,29.8,3.1,8.0,0.39,1.3,4.0,0.329,1.8,4.0,0.45,0.472,1.4,1.8,0.75,1.2,2.9,4.1,0.9,0.9,0.4,0.9,3.1,8.9,2016,Playoffs,9.9,0.506,0.497,0.226,4.4,12.4,8.1,4.8,1.6,1.0,9.3,15.0,0.3,0.5,0.8,0.062,-1.1,0.6,-0.6,0.2
andre iguodala,32.0,GSW,SF,24.0,3.0,32.0,3.3,6.8,0.476,1.0,2.7,0.385,2.2,4.1,0.535,0.552,1.3,2.4,0.561,1.5,2.9,4.4,3.8,1.2,0.4,1.0,1.5,8.9,2016,Playoffs,13.8,0.563,0.396,0.348,5.0,9.7,7.4,16.6,1.9,1.0,10.8,12.1,1.5,0.7,2.1,0.133,1.2,1.8,3.0,1.0
danny green,28.0,SAS,SG,10.0,10.0,26.7,3.0,6.4,0.469,2.4,4.7,0.511,0.6,1.7,0.353,0.656,0.2,0.3,0.667,0.0,3.1,3.1,0.7,2.1,0.8,0.6,2.0,8.6,2016,Playoffs,15.3,0.658,0.734,0.047,0.0,12.6,6.7,3.8,4.1,2.4,8.4,12.4,0.4,0.6,0.9,0.17,1.7,5.0,6.8,0.6
cory joseph,24.0,TOR,SG,20.0,0.0,22.6,3.5,7.4,0.466,0.4,1.2,0.333,3.1,6.2,0.492,0.493,1.2,1.6,0.75,0.6,1.5,2.1,2.4,0.9,0.1,1.1,2.4,8.5,2016,Playoffs,13.8,0.524,0.162,0.216,2.8,8.5,5.4,18.9,2.1,0.4,12.0,18.9,0.4,0.3,0.8,0.082,-0.3,1.2,0.8,0.3
dion waiters,24.0,OKC,SG,18.0,0.0,27.3,3.1,7.3,0.417,1.2,3.1,0.375,1.9,4.2,0.447,0.496,1.1,1.7,0.667,0.3,2.3,2.6,2.3,0.6,0.2,1.1,2.3,8.4,2016,Playoffs,9.3,0.52,0.424,0.227,1.4,9.2,5.3,12.5,1.0,0.5,12.1,14.6,0.4,0.3,0.7,0.065,-1.7,0.6,-1.1,0.1
shaun livingston,30.0,GSW,PG,24.0,7.0,21.4,3.4,7.0,0.488,0.0,0.0,0.0,3.4,7.0,0.491,0.488,1.3,1.5,0.865,0.5,2.6,3.2,3.3,0.5,0.2,1.2,2.0,8.2,2016,Playoffs,14.0,0.532,0.006,0.22,2.8,13.1,8.0,24.0,1.2,0.8,13.6,18.2,0.7,0.4,1.2,0.108,-1.2,1.0,-0.3,0.2
patrick patterson,26.0,TOR,PF,20.0,9.0,29.2,2.8,6.8,0.404,1.1,3.5,0.3,1.7,3.3,0.515,0.482,1.1,1.3,0.846,1.5,2.4,3.9,1.2,0.4,0.5,0.9,1.6,7.7,2016,Playoffs,10.1,0.519,0.515,0.191,5.6,10.5,7.9,6.8,0.6,1.4,10.9,13.2,0.5,0.3,0.7,0.061,0.4,-0.5,-0.1,0.3
mason plumlee,25.0,POR,C,11.0,11.0,27.8,2.5,6.4,0.4,0.0,0.0,0.0,2.5,6.4,0.4,0.4,1.9,3.0,0.636,3.4,8.5,11.8,4.8,0.6,1.0,2.3,3.8,7.0,2016,Playoffs,15.3,0.456,0.0,0.471,12.1,32.0,21.8,25.7,1.1,2.8,22.8,15.3,0.2,0.4,0.6,0.09,-0.4,2.6,2.2,0.3
gerald henderson,28.0,POR,SG,11.0,0.0,21.3,2.7,7.5,0.366,0.6,1.7,0.368,2.1,5.7,0.365,0.409,0.8,1.1,0.75,0.5,2.6,3.2,1.5,0.5,0.3,0.5,1.9,6.9,2016,Playoffs,9.3,0.435,0.232,0.146,2.6,13.1,7.7,11.4,1.3,1.0,5.4,16.8,0.0,0.1,0.1,0.023,-2.1,-0.5,-2.6,0.0
justise winslow,19.0,MIA,SF,13.0,2.0,25.4,2.5,5.7,0.432,0.4,1.4,0.278,2.1,4.3,0.482,0.466,1.6,2.3,0.7,1.3,3.5,4.8,0.6,0.6,0.3,0.9,2.7,6.9,2016,Playoffs,10.1,0.516,0.243,0.405,6.4,15.7,11.3,3.7,1.3,0.9,12.1,14.3,0.2,0.5,0.7,0.101,-2.2,0.8,-1.4,0.1
channing frye,32.0,CLE,C,17.0,0.0,13.9,2.4,4.1,0.594,1.5,2.7,0.565,0.9,1.4,0.652,0.783,0.4,0.4,0.857,0.3,2.1,2.4,0.3,0.4,0.5,0.3,2.2,6.7,2016,Playoffs,20.5,0.791,0.667,0.101,2.5,17.7,10.2,3.4,1.3,3.7,6.5,15.0,0.9,0.3,1.2,0.247,4.1,2.2,6.3,0.5
manu ginã³bili,38.0,SAS,SG,10.0,0.0,19.2,2.0,4.7,0.426,0.9,2.1,0.429,1.1,2.6,0.423,0.521,1.8,2.3,0.783,0.6,2.1,2.7,2.5,0.8,0.3,0.7,2.5,6.7,2016,Playoffs,16.0,0.586,0.447,0.489,3.8,11.9,8.1,18.5,2.2,1.2,10.9,15.5,0.5,0.3,0.8,0.191,0.1,2.4,2.5,0.2
tristan thompson,24.0,CLE,PF,21.0,21.0,29.6,2.3,4.4,0.527,0.0,0.0,0.0,2.3,4.4,0.527,0.527,2.0,3.5,0.575,4.1,4.9,9.0,0.7,0.4,0.9,0.8,2.6,6.7,2016,Playoffs,14.2,0.559,0.0,0.785,16.6,19.1,17.8,3.4,0.7,2.8,12.0,10.6,1.4,0.6,2.0,0.155,0.0,-1.1,-1.1,0.1
patty mills,27.0,SAS,PG,10.0,0.0,16.7,2.3,5.3,0.434,1.3,3.6,0.361,1.0,1.7,0.588,0.557,0.7,1.1,0.636,0.0,1.4,1.4,2.0,0.7,0.0,0.8,0.3,6.6,2016,Playoffs,15.2,0.571,0.679,0.208,0.0,9.1,4.8,17.9,2.2,0.0,12.2,18.4,0.2,0.2,0.4,0.124,1.4,1.1,2.5,0.2
josh richardson,22.0,MIA,SG,14.0,0.0,27.6,2.4,6.4,0.371,1.2,3.3,0.37,1.1,3.1,0.372,0.466,0.7,1.0,0.714,0.7,2.9,3.6,1.6,0.4,0.9,0.9,2.6,6.6,2016,Playoffs,8.8,0.489,0.517,0.157,3.2,11.6,7.6,8.5,0.8,2.6,11.2,13.2,0.1,0.6,0.7,0.085,-1.6,0.9,-0.8,0.1
mike scott,27.0,ATL,PF,10.0,0.0,16.1,2.5,4.0,0.625,0.8,1.6,0.5,1.7,2.4,0.708,0.725,0.7,0.8,0.875,0.5,2.7,3.2,0.5,0.3,0.3,0.8,2.0,6.5,2016,Playoffs,15.1,0.747,0.4,0.2,3.5,17.2,10.7,5.2,0.9,1.7,15.5,14.3,0.3,0.2,0.5,0.153,0.1,1.6,1.7,0.2
terrence ross,24.0,TOR,SF,20.0,0.0,16.8,2.3,6.0,0.387,1.1,3.2,0.328,1.3,2.8,0.455,0.475,0.7,1.0,0.65,0.2,1.4,1.6,0.6,0.7,0.3,0.8,1.4,6.3,2016,Playoffs,10.0,0.493,0.538,0.168,1.4,10.7,5.7,5.8,2.1,1.3,11.1,19.9,-0.1,0.3,0.2,0.023,-0.4,0.2,-0.2,0.1
bismack biyombo,23.0,TOR,C,20.0,10.0,25.3,2.0,3.5,0.58,0.0,0.0,0.0,2.0,3.5,0.58,0.58,2.2,3.6,0.597,2.7,6.7,9.4,0.4,0.4,1.4,1.1,2.4,6.2,2016,Playoffs,15.9,0.611,0.0,1.043,11.9,33.8,22.2,2.5,0.8,4.7,17.3,11.1,0.8,0.8,1.5,0.146,0.3,1.2,1.5,0.4
tim duncan,39.0,SAS,C,10.0,10.0,21.8,2.2,5.2,0.423,0.0,0.0,0.0,2.2,5.2,0.423,0.423,1.5,2.1,0.714,1.0,3.8,4.8,1.4,0.2,1.3,1.0,1.8,5.9,2016,Playoffs,11.6,0.482,0.0,0.404,5.6,19.0,12.7,9.1,0.5,4.7,14.0,15.2,0.0,0.4,0.4,0.083,-2.4,1.8,-0.6,0.1
thabo sefolosha,31.0,ATL,SF,10.0,2.0,20.3,2.2,4.6,0.478,0.7,1.9,0.368,1.5,2.7,0.556,0.554,0.8,1.5,0.533,0.8,3.3,4.1,1.7,1.0,0.6,1.0,1.7,5.9,2016,Playoffs,13.5,0.561,0.413,0.326,4.4,16.7,10.9,13.0,2.5,2.7,16.0,13.8,0.1,0.3,0.5,0.11,-0.7,2.9,2.2,0.2
david west,35.0,SAS,PF,10.0,0.0,17.6,2.5,5.5,0.455,0.3,0.6,0.5,2.2,4.9,0.449,0.482,0.5,0.9,0.556,1.3,2.4,3.7,1.3,0.6,0.7,0.7,1.9,5.8,2016,Playoffs,14.4,0.492,0.109,0.164,9.1,14.8,12.1,11.1,1.8,3.1,10.6,17.4,0.1,0.3,0.4,0.116,-0.4,1.4,0.9,0.1
leandro barbosa,33.0,GSW,SG,23.0,0.0,11.0,2.2,3.8,0.58,0.5,1.2,0.393,1.7,2.6,0.667,0.642,0.7,0.9,0.762,0.5,0.7,1.2,0.7,0.5,0.0,0.5,1.0,5.6,2016,Playoffs,18.4,0.663,0.318,0.239,4.8,6.7,5.8,9.7,2.1,0.3,10.2,18.7,0.7,0.2,0.9,0.172,1.7,1.6,3.3,0.3
andre roberson,24.0,OKC,SG,18.0,18.0,26.2,2.2,4.8,0.465,0.7,2.1,0.324,1.6,2.7,0.571,0.535,0.4,1.1,0.4,1.4,4.2,5.6,0.8,1.3,1.1,0.6,2.5,5.6,2016,Playoffs,11.6,0.527,0.43,0.233,6.0,17.7,12.0,4.2,2.5,3.2,10.4,9.8,0.4,0.7,1.1,0.111,-0.5,3.2,2.7,0.6
marreese speights,28.0,GSW,C,24.0,0.0,8.4,1.9,4.9,0.39,0.8,1.8,0.419,1.2,3.1,0.373,0.466,1.0,1.3,0.774,0.6,1.3,2.0,0.5,0.1,0.3,0.8,1.8,5.6,2016,Playoffs,14.2,0.509,0.364,0.263,8.2,17.0,12.7,9.5,0.7,3.2,13.2,33.1,-0.1,0.2,0.2,0.04,-2.7,-1.0,-3.7,-0.1
ed davis,26.0,POR,PF,11.0,0.0,18.6,1.9,3.6,0.525,0.0,0.2,0.0,1.9,3.5,0.553,0.525,1.7,3.0,0.576,2.4,4.5,6.8,1.3,0.2,0.6,0.9,3.0,5.5,2016,Playoffs,14.9,0.559,0.05,0.825,12.7,25.2,18.8,10.3,0.5,2.7,15.5,13.4,0.4,0.2,0.5,0.127,-0.9,0.1,-0.7,0.1
richard jefferson,35.0,CLE,SF,21.0,2.0,18.1,2.1,4.0,0.524,0.5,1.3,0.393,1.6,2.7,0.589,0.589,0.7,1.0,0.75,0.8,2.8,3.5,0.7,0.5,0.0,0.6,1.6,5.4,2016,Playoffs,12.5,0.614,0.333,0.238,5.0,17.7,11.5,5.4,1.4,0.3,12.3,12.8,0.6,0.4,1.0,0.124,-0.9,0.9,0.0,0.2
andrew bogut,31.0,GSW,C,22.0,22.0,16.6,2.2,3.5,0.623,0.0,0.1,0.0,2.2,3.4,0.64,0.623,0.2,0.6,0.357,2.1,3.5,5.7,1.4,0.6,1.6,0.9,3.3,4.6,2016,Playoffs,18.2,0.607,0.026,0.182,14.1,22.8,18.5,12.2,1.9,7.7,18.6,12.3,0.7,0.7,1.5,0.194,-1.1,3.8,2.6,0.4
ian clark,24.0,GSW,SG,16.0,0.0,9.6,1.6,3.3,0.491,0.4,1.1,0.333,1.3,2.2,0.571,0.547,0.5,0.6,0.8,0.1,0.9,1.1,1.0,0.5,0.0,0.6,1.1,4.1,2016,Playoffs,13.9,0.575,0.34,0.189,1.4,10.4,6.0,16.3,2.6,0.0,13.6,18.9,0.2,0.2,0.4,0.109,-1.4,1.4,0.0,0.1
festus ezeli,26.0,GSW,C,23.0,1.0,8.8,1.6,3.0,0.536,0.0,0.0,0.0,1.6,3.0,0.536,0.536,0.8,1.9,0.432,1.0,1.7,2.7,0.3,0.0,0.3,0.6,1.5,4.0,2016,Playoffs,13.9,0.526,0.0,0.638,12.4,20.0,16.3,6.3,0.2,2.8,13.7,22.1,0.1,0.2,0.3,0.08,-3.2,-0.7,-3.9,-0.1
matthew dellavedova,25.0,CLE,PG,20.0,0.0,12.1,1.3,3.7,0.351,0.4,1.6,0.258,0.9,2.2,0.419,0.405,0.9,1.2,0.75,0.2,0.6,0.8,2.8,0.1,0.1,0.7,1.6,3.9,2016,Playoffs,10.8,0.461,0.419,0.324,2.0,5.3,3.7,33.6,0.2,0.4,14.2,18.9,0.4,0.1,0.4,0.083,-1.2,-2.1,-3.3,-0.1
josh mcroberts,28.0,MIA,PF,10.0,0.0,13.4,1.6,3.4,0.471,0.0,0.7,0.0,1.6,2.7,0.593,0.471,0.6,0.6,1.0,0.7,1.9,2.6,0.9,0.5,0.5,0.4,2.0,3.8,2016,Playoffs,13.7,0.519,0.206,0.176,6.5,15.9,11.5,10.6,2.0,2.9,9.8,14.4,0.2,0.3,0.4,0.153,-1.6,3.0,1.4,0.1
norman powell,22.0,TOR,SG,18.0,3.0,11.4,1.5,3.9,0.386,0.4,1.4,0.269,1.1,2.4,0.455,0.436,0.4,0.4,0.875,0.2,1.3,1.5,0.3,0.7,0.1,0.3,1.0,3.8,2016,Playoffs,11.4,0.462,0.371,0.114,2.2,14.2,7.9,5.1,3.4,0.9,6.4,17.7,0.0,0.3,0.2,0.055,-0.8,1.5,0.7,0.1
gerald green,30.0,MIA,SG,12.0,0.0,9.2,1.3,4.1,0.327,0.3,1.2,0.286,1.0,2.9,0.343,0.367,0.3,0.4,0.8,0.2,1.3,1.4,0.1,0.3,0.1,0.2,1.2,3.3,2016,Playoffs,6.7,0.391,0.286,0.102,2.3,15.3,9.1,1.5,1.9,0.7,3.8,23.0,-0.2,0.2,0.0,-0.007,-5.3,0.0,-5.3,-0.1
iman shumpert,25.0,CLE,SG,21.0,0.0,17.5,1.2,2.9,0.417,0.6,1.6,0.382,0.6,1.2,0.462,0.525,0.3,0.5,0.636,0.5,1.8,2.2,0.8,0.5,0.1,0.6,1.7,3.3,2016,Playoffs,7.1,0.54,0.567,0.183,3.3,11.7,7.6,6.3,1.4,0.8,16.7,9.8,0.2,0.3,0.5,0.062,-2.7,0.9,-1.9,0.0
james johnson,28.0,TOR,PF,10.0,0.0,9.8,1.2,2.5,0.48,0.4,0.9,0.444,0.8,1.6,0.5,0.56,0.2,0.3,0.667,0.3,1.2,1.5,0.6,0.3,0.0,0.7,1.3,3.0,2016,Playoffs,9.5,0.57,0.36,0.12,3.5,15.6,9.2,10.6,1.6,0.0,21.0,15.8,0.0,0.1,0.1,0.041,-1.9,0.1,-1.9,0.0
anthony morrow,30.0,OKC,SG,14.0,0.0,5.4,0.8,1.7,0.458,0.4,1.0,0.357,0.4,0.7,0.6,0.563,0.7,0.7,1.0,0.0,0.1,0.1,0.1,0.1,0.0,0.3,0.4,2.6,2016,Playoffs,12.7,0.651,0.583,0.417,0.0,2.9,1.5,2.0,0.7,0.0,12.3,18.5,0.2,0.0,0.2,0.12,1.1,-0.2,0.9,0.1
randy foye,32.0,OKC,SG,16.0,0.0,11.9,0.9,2.6,0.341,0.5,1.6,0.308,0.4,0.9,0.4,0.439,0.3,0.3,1.0,0.1,1.1,1.3,0.8,0.1,0.2,0.7,1.1,2.5,2016,Playoffs,4.3,0.468,0.634,0.098,1.2,10.4,5.9,9.5,0.5,1.2,20.5,12.3,-0.1,0.1,0.0,-0.003,-3.6,-0.2,-3.8,-0.1
luis scola,35.0,TOR,PF,11.0,9.0,12.7,0.7,2.8,0.258,0.4,1.9,0.19,0.4,0.9,0.4,0.323,0.7,1.0,0.727,0.2,1.5,1.6,0.6,0.3,0.0,0.5,2.0,2.5,2016,Playoffs,2.7,0.391,0.677,0.355,1.6,14.6,7.7,7.7,1.2,0.0,12.2,13.5,-0.2,0.1,-0.1,-0.026,-5.1,-0.5,-5.6,-0.1
kyle anderson,22.0,SAS,SF,10.0,0.0,12.9,0.8,2.5,0.32,0.1,0.3,0.333,0.7,2.2,0.318,0.34,0.6,0.7,0.857,0.2,2.2,2.4,0.7,0.6,0.3,0.4,1.1,2.3,2016,Playoffs,7.7,0.41,0.12,0.28,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,-0.1,0.2,0.1,0.055,-4.5,2.0,-2.4,0.0
cameron payne,21.0,OKC,PG,10.0,0.0,6.4,0.7,2.6,0.269,0.2,1.0,0.2,0.5,1.6,0.313,0.308,0.2,0.4,0.5,0.0,0.4,0.4,0.8,0.2,0.2,0.8,0.7,1.8,2016,Playoffs,-0.6,0.324,0.385,0.154,0.0,6.9,3.5,18.2,1.6,2.5,22.4,24.3,-0.3,0.1,-0.3,-0.189,-7.6,-3.6,-11.1,-0.1
brandon rush,30.0,GSW,SG,14.0,0.0,7.9,0.6,1.4,0.45,0.3,0.9,0.333,0.4,0.6,0.625,0.55,0.1,0.1,0.5,0.0,1.6,1.6,0.2,0.1,0.1,0.1,0.6,1.6,2016,Playoffs,7.8,0.551,0.6,0.1,0.0,22.3,11.3,3.8,0.9,1.5,8.7,9.1,0.0,0.1,0.2,0.073,-2.8,0.7,-2.1,0.0
mo williams,33.0,CLE,PG,13.0,0.0,5.2,0.6,2.2,0.286,0.2,1.0,0.231,0.4,1.2,0.333,0.339,0.1,0.2,0.5,0.0,0.5,0.5,0.2,0.3,0.0,0.8,0.6,1.5,2016,Playoffs,-3.3,0.346,0.464,0.071,0.0,10.3,5.2,6.5,3.1,0.0,25.7,26.4,-0.4,0.1,-0.3,-0.245,-10.7,-2.8,-13.5,-0.2
timofey mozgov,29.0,CLE,C,13.0,0.0,5.8,0.5,1.2,0.4,0.0,0.0,0.0,0.5,1.2,0.4,0.4,0.2,0.3,0.75,0.4,1.2,1.6,0.2,0.2,0.2,0.6,1.2,1.2,2016,Playoffs,4.7,0.447,0.0,0.267,7.9,24.5,16.3,3.7,2.1,3.8,32.3,15.1,-0.2,0.1,0.0,-0.023,-8.4,0.8,-7.6,-0.1
anderson varejão,33.0,GSW,C,17.0,0.0,5.5,0.3,0.8,0.357,0.0,0.0,0.0,0.3,0.8,0.357,0.357,0.6,1.1,0.526,0.7,0.5,1.2,0.8,0.1,0.1,0.1,1.0,1.2,2016,Playoffs,12.4,0.447,0.0,1.357,14.2,10.3,12.2,18.6,1.1,1.7,8.2,11.5,0.2,0.1,0.3,0.149,-1.1,1.9,0.8,0.1
dahntay jones,35.0,CLE,SF,15.0,0.0,3.3,0.4,0.9,0.462,0.1,0.2,0.333,0.3,0.7,0.5,0.5,0.3,0.3,0.8,0.0,0.5,0.5,0.1,0.1,0.1,0.1,0.2,1.1,2016,Playoffs,12.6,0.559,0.231,0.385,0.0,16.3,8.3,5.9,1.1,1.9,6.2,15.0,0.1,0.0,0.1,0.116,-0.6,1.0,0.4,0.0
brian roberts,30.0,POR,PG,10.0,0.0,3.6,0.2,0.9,0.222,0.0,0.4,0.0,0.2,0.5,0.4,0.222,0.4,0.6,0.667,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.5,0.8,2016,Playoffs,1.1,0.344,0.444,0.667,2.8,0.0,1.4,11.7,0.0,0.0,7.9,15.0,0.0,0.0,-0.1,-0.075,-7.4,-4.7,-12.1,-0.1
jason thompson,29.0,TOR,C,10.0,0.0,5.5,0.4,0.9,0.444,0.0,0.1,0.0,0.4,0.8,0.5,0.444,0.0,0.3,0.0,0.6,0.5,1.1,0.1,0.0,0.1,0.1,0.6,0.8,2016,Playoffs,6.2,0.388,0.111,0.333,12.4,11.6,12.0,2.9,0.0,1.6,8.8,9.5,0.0,0.0,0.0,0.014,-2.7,-3.3,-6.1,-0.1
james jones,35.0,CLE,SF,12.0,0.0,4.6,0.2,0.8,0.2,0.1,0.6,0.143,0.1,0.3,0.333,0.25,0.1,0.3,0.25,0.1,0.3,0.3,0.3,0.0,0.0,0.1,0.3,0.5,2016,Playoffs,-0.7,0.255,0.7,0.4,2.2,6.3,4.3,7.2,0.0,0.0,7.8,10.7,-0.1,0.0,-0.1,-0.079,-5.5,-3.1,-8.6,-0.1
lebron james,32.0,CLE,SF,18.0,18.0,41.3,12.1,21.3,0.565,2.4,5.9,0.411,9.6,15.4,0.625,0.622,6.3,9.0,0.698,1.1,8.1,9.1,7.8,1.9,1.3,4.0,2.4,32.8,2017,Playoffs,30.1,0.649,0.279,0.422,3.1,21.6,12.8,33.8,2.3,2.6,13.7,31.6,3.2,1.1,4.3,0.275,7.7,2.1,9.8,2.2
kevin durant,28.0,GSW,PF,15.0,15.0,35.5,9.9,17.9,0.556,2.5,5.7,0.442,7.4,12.1,0.61,0.627,6.1,6.9,0.893,1.1,6.9,7.9,4.3,0.8,1.3,2.5,2.6,28.5,2017,Playoffs,27.5,0.683,0.321,0.384,3.5,19.5,12.0,19.5,1.1,3.0,10.8,28.3,2.2,0.9,3.1,0.28,8.2,1.7,9.9,1.6
james harden,27.0,HOU,PG,11.0,11.0,37.0,8.2,19.8,0.413,2.9,10.5,0.278,5.3,9.4,0.563,0.486,9.2,10.5,0.878,0.6,4.8,5.5,8.5,1.9,0.5,5.4,3.9,28.5,2017,Playoffs,23.0,0.583,0.528,0.528,1.9,13.7,8.0,41.7,2.6,0.9,18.0,35.3,0.8,0.6,1.3,0.157,6.0,1.0,7.0,0.9
stephen curry,28.0,GSW,PG,17.0,17.0,35.4,8.9,18.4,0.484,4.2,10.1,0.419,4.6,8.2,0.564,0.599,6.1,6.7,0.904,1.3,4.9,6.2,6.7,2.0,0.2,3.4,2.2,28.1,2017,Playoffs,27.1,0.659,0.551,0.365,4.2,14.1,9.5,29.5,2.7,0.5,13.8,30.0,2.3,1.1,3.4,0.272,8.3,1.4,9.7,1.8
kawhi leonard,25.0,SAS,SF,12.0,12.0,35.8,8.8,16.8,0.525,2.1,4.6,0.455,6.8,12.3,0.551,0.587,7.9,8.5,0.931,1.6,6.2,7.8,4.6,1.7,0.5,2.2,1.8,27.7,2017,Playoffs,31.5,0.672,0.272,0.505,4.9,20.8,12.5,22.3,2.4,1.4,9.5,28.2,2.3,0.5,2.8,0.314,10.5,3.7,14.2,1.7
john wall,26.0,WAS,PG,13.0,13.0,39.0,9.8,21.6,0.452,1.6,4.7,0.344,8.2,16.9,0.482,0.489,6.0,7.2,0.839,0.5,3.2,3.7,10.3,1.7,1.2,4.2,2.0,27.2,2017,Playoffs,23.0,0.548,0.217,0.331,1.6,9.4,5.5,45.7,2.2,2.7,14.6,32.1,0.9,0.5,1.4,0.136,6.2,-0.4,5.7,1.0
kyrie irving,24.0,CLE,PG,18.0,18.0,36.3,9.6,20.6,0.468,2.4,6.6,0.373,7.2,14.0,0.512,0.527,4.2,4.7,0.905,0.7,2.1,2.8,5.3,1.3,0.4,2.7,2.1,25.9,2017,Playoffs,21.3,0.573,0.319,0.227,2.4,6.5,4.6,24.7,1.7,1.0,10.6,31.1,1.6,0.4,2.0,0.147,4.0,-1.8,2.2,0.7
bradley beal,23.0,WAS,SG,13.0,13.0,38.8,9.4,19.9,0.471,2.2,7.8,0.287,7.2,12.2,0.589,0.527,3.8,4.7,0.82,1.2,2.2,3.4,2.7,1.6,0.6,2.1,2.9,24.8,2017,Playoffs,18.0,0.565,0.39,0.236,3.4,6.7,5.0,11.8,2.1,1.4,8.6,26.7,0.8,0.4,1.2,0.112,3.3,-0.8,2.5,0.6
gordon hayward,26.0,UTA,SF,11.0,11.0,37.4,7.5,17.1,0.441,2.5,6.2,0.412,5.0,10.9,0.458,0.516,6.5,6.9,0.934,0.6,5.5,6.1,3.4,0.9,0.3,2.2,2.1,24.1,2017,Playoffs,20.7,0.598,0.362,0.404,2.0,17.6,9.8,16.7,1.3,0.6,9.8,28.5,0.8,0.4,1.2,0.142,5.2,0.4,5.6,0.8
isaiah thomas,27.0,BOS,PG,15.0,15.0,34.7,7.4,17.4,0.425,2.4,7.2,0.333,5.0,10.2,0.49,0.494,6.1,7.4,0.82,0.3,2.8,3.1,6.7,0.9,0.1,3.3,2.3,23.3,2017,Playoffs,18.1,0.563,0.414,0.425,1.1,9.8,5.3,33.0,1.3,0.3,13.9,31.3,0.7,0.1,0.8,0.077,2.9,-2.3,0.6,0.3
demar derozan,27.0,TOR,SG,10.0,10.0,37.3,7.6,17.5,0.434,0.1,1.5,0.067,7.5,16.0,0.469,0.437,7.1,8.0,0.888,0.4,4.5,4.9,3.4,1.4,0.0,2.5,2.6,22.4,2017,Playoffs,16.6,0.533,0.086,0.457,1.3,14.5,8.0,17.1,1.9,0.0,10.6,29.6,0.1,0.4,0.5,0.062,0.7,-0.5,0.2,0.2
kevin love,28.0,CLE,PF,18.0,18.0,32.1,5.3,12.1,0.436,2.8,6.2,0.45,2.5,5.9,0.421,0.55,3.5,4.2,0.84,2.0,8.6,10.6,1.7,1.2,0.9,1.7,2.6,16.8,2017,Playoffs,19.7,0.604,0.509,0.344,7.6,29.7,19.3,7.5,1.8,2.3,11.0,21.8,1.3,0.9,2.1,0.178,3.5,-0.3,3.2,0.8
