Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,Type,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
jamal crawford,33.0,LAC,SG,13.0,0.0,24.1,5.2,13.2,0.398,2.1,6.1,0.342,3.2,7.1,0.446,0.477,3.0,3.4,0.886,0.4,1.1,1.5,2.0,0.9,0.2,1.2,1.8,15.5,2014,Playoffs,16.7,0.531,0.462,0.257,1.8,5.3,3.5,13.8,1.9,0.5,7.3,28.5,0.4,0.1,0.5,0.079,3.7,-1.1,2.6,0.4
nicolas batum,25.0,POR,SF,11.0,11.0,41.7,6.1,12.9,0.472,1.9,5.5,0.35,4.2,7.5,0.561,0.546,1.1,1.4,0.8,0.9,6.7,7.6,4.8,1.3,0.5,2.5,1.9,15.2,2014,Playoffs,14.5,0.562,0.423,0.106,2.4,17.3,9.9,18.3,1.5,0.8,15.9,16.9,0.4,0.2,0.7,0.07,2.5,0.8,3.3,0.6
david west,33.0,IND,PF,19.0,19.0,36.2,6.4,12.9,0.494,0.1,0.5,0.2,6.3,12.4,0.506,0.498,2.3,3.2,0.705,1.3,5.5,6.7,3.9,0.7,0.8,2.3,3.0,15.1,2014,Playoffs,15.5,0.528,0.041,0.249,4.3,17.9,11.3,20.8,1.1,2.0,13.7,22.4,0.3,1.0,1.3,0.093,0.2,1.4,1.6,0.6
chris bosh,29.0,MIA,C,20.0,20.0,34.3,5.8,11.5,0.507,1.5,3.7,0.405,4.3,7.8,0.555,0.572,1.8,2.4,0.75,1.2,4.4,5.6,1.1,0.9,1.0,0.7,2.6,14.9,2014,Playoffs,18.2,0.596,0.323,0.21,4.8,16.5,10.9,5.4,1.4,2.7,5.3,19.7,1.4,0.6,2.0,0.14,2.9,-0.8,2.1,0.7
wesley matthews,27.0,POR,SG,11.0,11.0,38.7,5.1,12.4,0.412,2.0,6.2,0.324,3.1,6.2,0.5,0.493,2.4,2.9,0.813,0.6,3.3,3.9,1.3,1.3,0.5,2.0,4.1,14.5,2014,Playoffs,9.7,0.533,0.5,0.235,1.8,9.1,5.5,5.1,1.7,0.9,12.8,17.7,0.1,0.1,0.2,0.021,-1.3,-0.3,-1.5,0.1
deron williams,29.0,BRK,PG,12.0,12.0,35.7,5.0,12.7,0.395,1.5,4.4,0.34,3.5,8.3,0.424,0.454,3.0,3.8,0.8,0.6,2.6,3.2,5.8,1.1,0.2,2.3,2.6,14.5,2014,Playoffs,14.6,0.506,0.349,0.296,2.0,9.6,5.6,28.0,1.7,0.5,13.6,22.7,0.4,0.2,0.5,0.061,0.9,-1.3,-0.4,0.2
manu ginã³bili,36.0,SAS,SG,23.0,0.0,25.5,4.5,10.3,0.439,1.8,4.6,0.39,2.7,5.7,0.477,0.525,3.5,4.1,0.862,0.4,2.9,3.3,4.1,1.6,0.1,2.3,2.6,14.3,2014,Playoffs,20.3,0.593,0.443,0.397,1.8,12.9,7.5,25.1,3.2,0.3,15.7,26.2,1.2,1.0,2.2,0.184,2.9,2.4,5.3,1.1
kawhi leonard,22.0,SAS,SF,23.0,23.0,32.0,5.3,10.4,0.51,1.3,3.2,0.419,4.0,7.2,0.552,0.575,2.3,3.1,0.736,1.3,5.4,6.7,1.7,1.7,0.6,1.3,2.9,14.3,2014,Playoffs,18.7,0.606,0.31,0.301,5.1,19.2,12.3,7.8,2.7,1.5,9.7,18.9,1.5,1.5,2.9,0.191,1.9,2.8,4.7,1.3
nenãª,31.0,WAS,PF,10.0,10.0,32.5,6.4,13.8,0.464,0.0,0.0,0.0,6.4,13.8,0.464,0.464,0.9,2.6,0.346,0.8,4.5,5.3,2.6,0.9,1.1,1.7,3.6,13.7,2014,Playoffs,12.2,0.458,0.0,0.188,2.8,16.1,9.4,15.6,1.5,2.8,10.2,24.2,-0.3,0.7,0.3,0.048,-0.8,0.9,0.1,0.2
paul pierce,36.0,BRK,SF,12.0,12.0,30.7,5.0,10.8,0.465,1.6,4.4,0.358,3.4,6.3,0.539,0.539,2.1,2.7,0.781,0.3,4.2,4.5,2.0,1.2,0.3,1.7,3.7,13.7,2014,Playoffs,15.1,0.573,0.411,0.248,1.3,18.0,9.3,11.6,2.1,1.0,12.3,21.7,0.4,0.3,0.7,0.089,0.6,0.8,1.4,0.3
trevor ariza,28.0,WAS,SF,11.0,11.0,37.0,4.7,9.8,0.481,2.3,5.1,0.446,2.5,4.7,0.519,0.597,1.9,2.5,0.778,1.9,7.0,8.9,1.7,1.5,0.4,1.3,2.4,13.6,2014,Playoffs,17.6,0.626,0.519,0.25,6.0,22.0,13.9,8.0,2.3,0.8,10.5,15.5,0.8,0.9,1.7,0.202,3.3,1.9,5.2,0.7
lance stephenson,23.0,IND,SG,19.0,19.0,37.1,5.3,11.6,0.455,1.3,3.5,0.358,4.0,8.1,0.497,0.509,1.8,2.6,0.714,1.3,5.6,6.9,4.2,0.8,0.2,2.4,2.9,13.6,2014,Playoffs,13.5,0.536,0.305,0.223,4.2,18.0,11.2,20.3,1.2,0.5,16.0,19.9,0.3,1.0,1.2,0.085,0.3,0.6,0.9,0.5
jj redick,29.0,LAC,SG,13.0,13.0,27.0,4.7,10.2,0.459,2.0,5.0,0.4,2.7,5.2,0.515,0.556,1.9,2.0,0.962,0.3,1.4,1.7,1.5,0.8,0.0,1.0,1.8,13.3,2014,Playoffs,14.4,0.599,0.489,0.195,1.3,6.1,3.6,8.4,1.6,0.0,8.3,19.5,0.6,0.1,0.7,0.095,2.6,-0.8,1.8,0.3
marcin gortat,29.0,WAS,C,11.0,11.0,34.7,5.3,10.7,0.492,0.0,0.0,0.0,5.3,10.7,0.492,0.492,2.5,3.7,0.659,3.3,6.6,9.9,1.5,0.5,1.3,1.8,2.0,13.0,2014,Playoffs,16.3,0.526,0.0,0.347,10.9,22.2,16.5,7.5,0.7,3.0,12.8,19.3,0.3,0.8,1.0,0.13,1.1,-0.4,0.7,0.3
george hill,27.0,IND,PG,19.0,19.0,36.2,4.2,9.4,0.444,1.5,4.1,0.364,2.7,5.3,0.505,0.522,2.3,3.2,0.721,0.7,3.1,3.7,3.0,1.2,0.2,1.5,2.3,12.1,2014,Playoffs,12.8,0.561,0.433,0.343,2.3,10.0,6.2,14.2,1.8,0.5,12.0,16.5,0.7,0.9,1.5,0.107,-0.2,1.2,1.0,0.5
serge ibaka,24.0,OKC,PF,17.0,17.0,34.2,5.1,8.6,0.592,0.3,0.8,0.385,4.8,7.9,0.612,0.609,1.5,2.0,0.765,1.8,5.0,6.8,0.7,0.6,2.5,1.2,3.2,12.1,2014,Playoffs,16.6,0.633,0.088,0.231,6.4,15.7,11.3,3.5,1.0,5.4,11.0,14.3,1.0,0.7,1.7,0.143,1.1,1.7,2.8,0.7
reggie jackson,23.0,OKC,PG,19.0,4.0,27.9,3.9,8.5,0.466,1.1,2.8,0.396,2.8,5.7,0.5,0.531,2.1,2.3,0.886,0.7,3.1,3.8,2.4,0.3,0.2,2.0,2.6,11.1,2014,Playoffs,11.8,0.582,0.329,0.273,2.9,11.9,7.7,14.4,0.5,0.6,17.4,18.7,0.5,0.3,0.7,0.067,-0.1,-0.9,-1.0,0.1
robin lopez,25.0,POR,C,11.0,11.0,33.4,3.9,8.0,0.489,0.0,0.0,0.0,3.9,8.0,0.489,0.489,2.2,3.3,0.667,4.3,4.9,9.2,0.8,0.5,1.8,1.0,3.6,10.0,2014,Playoffs,15.3,0.53,0.0,0.409,14.0,15.8,14.9,3.7,0.8,4.0,9.6,13.7,0.6,0.2,0.8,0.103,0.8,-0.2,0.6,0.2
shaun livingston,28.0,BRK,PG,12.0,10.0,27.1,3.7,7.2,0.512,0.1,0.1,1.0,3.6,7.1,0.506,0.517,2.3,3.1,0.73,0.7,2.8,3.5,3.3,0.4,0.4,1.8,3.4,9.7,2014,Playoffs,13.1,0.567,0.012,0.43,3.0,13.9,8.2,20.9,0.9,1.5,17.7,18.7,0.3,0.1,0.5,0.068,-1.4,0.4,-1.0,0.1
deandre jordan,25.0,LAC,C,13.0,13.0,34.0,3.5,4.8,0.73,0.0,0.0,0.0,3.5,4.8,0.73,0.73,2.5,5.8,0.434,3.3,9.2,12.5,0.8,0.9,2.5,1.8,3.5,9.6,2014,Playoffs,16.5,0.648,0.0,1.206,10.7,32.3,21.1,3.2,1.4,6.3,19.3,11.7,0.5,0.7,1.2,0.13,0.6,1.8,2.4,0.5
matt barnes,33.0,LAC,SF,13.0,13.0,31.1,3.5,8.2,0.421,1.5,4.6,0.317,2.0,3.6,0.553,0.509,1.0,1.5,0.684,1.7,2.8,4.5,1.8,0.9,0.2,1.3,3.2,9.4,2014,Playoffs,9.7,0.529,0.561,0.178,6.0,10.6,8.2,8.0,1.5,0.6,12.8,14.2,0.2,0.2,0.4,0.047,0.0,-0.5,-0.5,0.2
ray allen,38.0,MIA,SG,20.0,1.0,26.4,3.0,7.2,0.413,1.7,4.3,0.388,1.3,2.9,0.448,0.528,1.7,1.9,0.919,0.7,2.7,3.4,1.6,0.7,0.2,1.2,2.1,9.3,2014,Playoffs,12.8,0.581,0.594,0.259,3.4,13.2,8.5,9.7,1.5,0.7,13.1,17.8,0.6,0.3,0.9,0.08,1.1,-0.9,0.2,0.3
danny green,26.0,SAS,SG,23.0,23.0,23.0,3.4,6.9,0.491,2.1,4.4,0.475,1.3,2.5,0.517,0.642,0.4,0.5,0.818,0.4,2.6,3.0,0.9,1.4,0.7,0.9,2.2,9.3,2014,Playoffs,16.5,0.65,0.635,0.069,2.0,13.0,7.6,5.9,3.1,2.6,10.9,16.1,0.9,1.0,1.9,0.172,2.5,3.7,6.2,1.1
roy hibbert,27.0,IND,C,19.0,19.0,28.5,3.5,7.7,0.449,0.0,0.1,0.0,3.5,7.7,0.452,0.449,2.3,3.0,0.772,2.3,3.2,5.5,0.9,0.2,1.4,1.3,3.3,9.3,2014,Playoffs,12.1,0.511,0.007,0.388,10.0,13.3,11.7,5.4,0.4,4.4,12.7,17.7,0.2,0.7,0.9,0.084,-2.6,0.3,-2.2,0.0
boris diaw,31.0,SAS,PF,23.0,3.0,26.3,3.5,7.0,0.5,0.8,2.0,0.4,2.7,5.0,0.539,0.556,1.4,2.1,0.688,1.1,3.7,4.8,3.4,0.6,0.1,1.3,1.9,9.2,2014,Playoffs,15.3,0.582,0.281,0.3,5.0,16.3,10.8,18.7,1.2,0.4,13.8,16.2,1.1,0.8,2.0,0.155,1.9,1.9,3.8,0.9
darren collison,26.0,LAC,PG,13.0,0.0,19.2,2.7,6.9,0.389,0.1,0.9,0.083,2.6,6.0,0.436,0.394,3.0,3.5,0.867,0.8,1.3,2.1,2.4,0.5,0.1,0.9,1.3,8.5,2014,Playoffs,13.9,0.501,0.133,0.5,4.4,8.1,6.2,18.3,1.2,0.3,9.9,21.2,0.3,0.0,0.4,0.07,0.5,-1.3,-0.7,0.1
