Player,year,MIN_PER_GAME,ATTENDANCE_RATE,MAJOR_INJURY
dexter pittman,2011,5.616666665,0.024390244,0
dirk nowitzki,2011,34.30050228767123,0.890243902,0
dominic mcguire,2011,14.622852563461539,0.634146341,0
dominique jones,2011,7.506111111111112,0.219512195,0
donte greene,2011,16.334565217391305,0.841463415,0
dorell wright,2011,38.37534552439025,1.0,0
drew gooden,2011,24.56795238,0.426829268,0
dwight howard,2011,37.62713675641026,0.951219512,0
dwyane wade,2011,37.14752193421052,0.926829268,0
earl barron,2011,14.548015871428571,0.256097561,0
earl boykins,2011,15.118742689473684,0.695121951,0
earl clark,2011,11.042619047619048,0.512195122,0
earl watson,2011,19.591874999999998,0.975609756,0
ed davis,2011,24.64235896923077,0.792682927,0
eddie house,2011,17.47083333392857,0.682926829,0
eduardo najera,2011,12.009408603225806,0.37804878,0
ekpe udoh,2011,17.750229879310346,0.707317073,0
elton brand,2011,34.68065843209877,0.987804878,0
emeka okafor,2011,31.760462958333335,0.87804878,0
eric bledsoe,2011,22.722633740740743,0.987804878,0
eric gordon,2011,37.715476196428575,0.682926829,0
eric maynor,2011,14.629695121951219,1.0,0
erick dampier,2011,15.976503268627452,0.62195122,0
ersan ilyasova,2011,25.088083333333334,0.731707317,0
etan thomas,2011,6.313333333076923,0.158536585,0
evan turner,2011,23.043611115384618,0.951219512,0
fabricio oberto,2011,8.939,0.06097561,0
francisco elson,2011,9.837661290322579,0.756097561,0
francisco garcia,2011,23.890114948275862,0.707317073,0
gani lawal,2011,1.933333333,0.012195122,0
garret siler,2011,4.823492061904762,0.256097561,0
garrett temple,2011,9.5913888875,0.292682927,0
gary forbes,2011,12.551878306349206,0.768292683,0
gary neal,2011,21.057020837499998,0.975609756,0
george hill,2011,28.262850881578945,0.926829268,0
gerald henderson,2011,24.43002451470588,0.829268293,0
gerald wallace,2011,37.93004694366197,0.865853659,0
gilbert arenas,2011,25.659904757142858,0.853658537,0
glen davis,2011,29.45867521794872,0.951219512,0
goran dragic,2011,17.626785714285713,0.853658537,0
gordon hayward,2011,16.912083333333335,0.87804878,0
grant hill,2011,30.1114375,0.975609756,0
greg monroe,2011,27.773291662499997,0.975609756,0
greivis vasquez,2011,12.28452381,0.853658537,0
hakim warrick,2011,17.6940208375,0.975609756,0
hamady ndiaye,2011,5.011041666875,0.195121951,0
hamed haddadi,2011,5.431827958064516,0.37804878,0
hasheem thabeet,2011,7.942836878723404,0.573170732,0
hassan whiteside,2011,1.743333333,0.012195122,1
hedo turkoglu,2011,31.3597942345679,0.987804878,0
henry walker,2011,12.850983606557376,0.743902439,0
hilton armstrong,2011,9.222358490566037,0.646341463,0
ian mahinmi,2011,8.712113094642858,0.682926829,0
ike diogu,2011,13.04486111111111,0.43902439,0
ime udoka,2011,6.5003333350000005,0.243902439,0
ish smith,2011,10.270968993023256,0.524390244,0
jj barea,2011,20.604526753086418,0.987804878,0
jj hickson,2011,28.204,0.975609756,0
jj redick,2011,25.642966101694913,0.719512195,0
jr smith,2011,24.90620253164557,0.963414634,0
javale mcgee,2011,27.75392405063291,0.963414634,0
jamaal magloire,2011,8.755462961111112,0.219512195,0
jamal crawford,2011,30.22357456578947,0.926829268,0
jamario moon,2011,17.665480220338985,0.719512195,0
jameer nelson,2011,30.510833328947367,0.926829268,0
james anderson,2011,11.009166665384615,0.317073171,0
james harden,2011,26.689491865853658,1.0,0
james johnson,2011,21.609342105263156,0.463414634,0
james jones,2011,19.124567901234567,0.987804878,0
james posey,2011,17.124251700000002,0.597560976,0
jared dudley,2011,26.09262195121951,1.0,0
jared jeffries,2011,14.310912697619047,0.512195122,0
jarrett jack,2011,20.750080325301205,1.012195122,0
jarron collins,2011,6.477261903571429,0.341463415,0
jason collins,2011,12.109047618367347,0.597560976,0
jason kapono,2011,4.646597220833333,0.292682927,0
jason kidd,2011,33.1605833375,0.975609756,0
jason maxiell,2011,16.31786549649123,0.695121951,0
jason richardson,2011,33.939020837499996,0.975609756,0
jason smith,2011,14.309415584415586,0.93902439,0
jason terry,2011,31.27274390243902,1.0,0
jason thompson,2011,23.30755556,0.914634146,0
jason williams,2011,10.929938270370371,0.329268293,0
jawad williams,2011,15.04275641153846,0.317073171,0
jeff adrien,2011,8.51891304347826,0.280487805,0
jeff foster,2011,16.783273808928573,0.682926829,0
jeff green,2011,32.36826666666666,0.914634146,0
jeff teague,2011,13.750547618571428,0.853658537,0
jeremy evans,2011,9.447142857142858,0.597560976,0
jeremy lin,2011,9.810804596551725,0.353658537,0
jermaine oneal,2011,17.967708333333334,0.292682927,0
jermaine taylor,2011,14.183676470588235,0.414634146,0
jerry stackhouse,2011,7.1061904757142855,0.085365854,0
jerryd bayless,2011,21.06032863380282,0.865853659,0
joakim noah,2011,32.8235069375,0.585365854,0
jodie meeks,2011,27.8654955,0.902439024,0
joe johnson,2011,35.47784722222222,0.87804878,0
joe smith,2011,4.334270833125,0.195121951,0
joel anthony,2011,19.507422226666666,0.914634146,0
joel przybilla,2011,14.437870369444445,0.43902439,0
joey dorsey,2011,12.13906976744186,0.524390244,0
joey graham,2011,15.032051282051283,0.475609756,0
johan petro,2011,11.602770562337662,0.93902439,0
john lucas,2011,5.053333335,0.024390244,0
john salmons,2011,34.98771689041096,0.890243902,0
john wall,2011,37.76891304347826,0.841463415,0
jon brockman,2011,10.753518519047619,0.768292683,0
jonny flynn,2011,18.544528301886793,0.646341463,0
jordan crawford,2011,24.44392857142857,0.512195122,0
jordan farmar,2011,24.602077630136986,0.890243902,0
jordan hill,2011,15.618009263888887,0.87804878,0
jose calderon,2011,30.914754897058824,0.829268293,0
josh childress,2011,16.551296296296297,0.658536585,0
josh howard,2011,22.700925927777778,0.219512195,0
josh mcroberts,2011,22.180393513888887,0.87804878,0
josh powell,2011,12.095277777777778,0.658536585,0
josh smith,2011,34.34844155844156,0.93902439,0
jrue holiday,2011,35.374369914634144,1.0,0
julian wright,2011,14.730032051923077,0.634146341,0
juwan howard,2011,10.3774269,0.695121951,0
keith bogans,2011,17.821138207317073,1.0,0
kendrick perkins,2011,25.586666665517242,0.353658537,0
kenyon martin,2011,25.69125,0.585365854,0
kevin durant,2011,38.943867525641025,0.951219512,0
kevin garnett,2011,31.264178408450707,0.865853659,0
kevin love,2011,35.760867575342466,0.890243902,1
kevin martin,2011,32.5316666625,0.975609756,0
kevin seraphin,2011,10.941867815517242,0.707317073,0
keyon dooling,2011,21.9576875,0.975609756,0
kirk hinrich,2011,29.95358795833333,0.87804878,0
kobe bryant,2011,33.886138207317074,1.0,0
kosta koufos,2011,8.672,0.609756098,0
kris humphries,2011,27.848153148648645,0.902439024,0
kurt thomas,2011,22.656794865384615,0.634146341,0
kwame brown,2011,25.97219696969697,0.804878049,0
kyle korver,2011,20.111260158536584,1.0,0
kyle lowry,2011,34.17577777333333,0.914634146,0
kyle weaver,2011,13.868,0.06097561,0
kyrylo fesenko,2011,8.602641509433962,0.646341463,0
lamarcus aldridge,2011,39.647181074074076,0.987804878,0
lamar odom,2011,32.179451219512195,1.0,0
lance stephenson,2011,9.558055558333333,0.146341463,0
landry fields,2011,30.991808939024388,1.0,0
larry owens,2011,11.894444441666666,0.146341463,0
larry sanders,2011,14.536027778333333,0.731707317,0
lazar hayward,2011,9.986150792857142,0.512195122,0
lebron james,2011,38.771919835443036,0.963414634,0
leandro barbosa,2011,24.045057465517242,0.707317073,0
leon powe,2011,10.92438889,0.365853659,0
lester hudson,2011,6.6666666663636365,0.134146341,0
linas kleiza,2011,26.460555564102567,0.475609756,0
lou amundson,2011,15.024057971739131,0.56097561,0
lou williams,2011,23.2978,0.914634146,1
luc mbah a moute,2011,26.494198316455694,0.963414634,0
luis scola,2011,32.592409905405404,0.902439024,0
luke babbitt,2011,5.720555554166666,0.292682927,0
luke harangody,2011,13.0742517,0.597560976,0
luke ridnour,2011,30.41070422535211,0.865853659,0
luke walton,2011,8.970154320370371,0.658536585,0
luol deng,2011,39.120955280487806,1.0,0
luther head,2011,16.266157408333335,0.43902439,0
malik allen,2011,9.90564815,0.219512195,0
manny harris,2011,17.28419753148148,0.658536585,0
manu ginobili,2011,30.318624999999997,0.975609756,0
marc gasol,2011,31.931563790123455,0.987804878,0
marcin gortat,2011,25.4111458375,0.975609756,0
marco belinelli,2011,24.4645208375,0.975609756,0
marcus banks,2011,7.25,0.036585366,0
marcus camby,2011,26.108050847457626,0.719512195,0
marcus cousin,2011,4.5779166675,0.048780488,0
