Player,player_height,player_weight,year
darrell armstrong,185.42,81.64656,Undrafted
david robinson,215.9,113.398,1987
jamison brewer,193.04,83.46092800000001,2001
james posey,203.2,97.52228,1999
jamal sampson,210.82,106.59412,2002
jamal mashburn,203.2,112.037224,1993
jamal crawford,195.58,86.18248,2000
jamaal tinsley,190.5,88.45044,2001
jamaal magloire,210.82,117.480328,2000
jalen rose,203.2,98.429464,1994
jake voskuhl,210.82,111.13004,2000
jake tsakalidis,218.44,131.54168,2000
jannero pargo,187.96,77.11064,Undrafted
jahidi white,205.74,131.54168,1998
jr bremer,187.96,83.91452,Undrafted
ira newble,200.66,99.79024,Undrafted
igor rakocevic,187.96,83.46092800000001,2000
hubert davis,195.58,83.007336,1992
howard eisley,187.96,81.64656,1994
horace grant,208.28,111.13004,1987
hedo turkoglu,208.28,99.79024,2000
guy rucker,205.74,122.46984,1999
greg ostertag,218.44,127.00576,1995
greg foster,210.82,108.86208,1990
jacque vaughn,185.42,86.18248,1997
jared jeffries,210.82,104.32616,2002
jarron collins,210.82,114.305184,2001
jason caffey,203.2,116.119552,1995
joel przybilla,215.9,115.66596,2000
joe smith,208.28,102.0582,1995
joe johnson,200.66,106.59412,2001
jiri welsch,200.66,94.347136,2002
jim jackson,198.12,99.79024,1992
jeryl sasser,198.12,90.7184,2001
jerry stackhouse,198.12,98.883056,1995
jerome williams,205.74,93.439952,1996
jerome moiso,208.28,105.233344,2000
jerome james,215.9,123.377024,1998
jermaine oneal,210.82,109.769264,1996
jermaine jackson,195.58,92.532768,Undrafted
jelani mccoy,208.28,115.66596,1998
jeff trepagnier,193.04,90.7184,2001
jeff mcinnis,193.04,81.19296800000001,1996
jeff foster,210.82,109.769264,1999
jay williams,187.96,88.45044,2002
jason williams,185.42,86.18248,1998
jason terry,187.96,81.64656,1999
jason richardson,198.12,99.79024,2001
jason kidd,193.04,96.161504,1994
jason collins,213.36,117.93392,2001
jason collier,213.36,117.93392,2000
greg buckner,193.04,95.25432,1998
darvin ham,200.66,104.32616,Undrafted
grant long,205.74,108.86208,1988
gordan giricek,198.12,97.975872,1999
eddie house,185.42,81.64656,2000
eddie griffin,208.28,105.233344,2001
earl watson,185.42,86.18248,2001
earl boykins,165.1,60.327736,Undrafted
drew gooden,208.28,104.32616,2002
doug christie,198.12,92.98636,1992
donyell marshall,205.74,104.32616,1994
donny marshall,200.66,104.32616,1995
donnell harvey,203.2,99.79024,2000
don reid,203.2,113.398,1995
dirk nowitzki,213.36,111.13004,1998
dion glover,195.58,103.418976,1999
dikembe mutombo,218.44,120.20188,1991
devin brown,195.58,106.59412,Undrafted
devean george,203.2,102.0582,1999
desmond mason,195.58,100.697424,2000
derrick coleman,208.28,122.46984,1990
derek fisher,185.42,92.98636,1996
derek anderson,195.58,88.45044,1997
dean oliver,180.34,79.3786,Undrafted
deshawn stevenson,195.58,95.25432,2000
desagana diop,213.36,136.0776,2001
david wesley,185.42,92.079176,Undrafted
eddie jones,198.12,95.25432,1994
grant hill,203.2,102.0582,1994
eddie robinson,205.74,95.25432,Undrafted
eduardo najera,203.2,106.59412,2000
glenn robinson,200.66,104.32616,1994
randy livingston,193.04,94.800728,1996
gilbert arenas,190.5,86.636072,2001
gerald wallace,200.66,97.52228,2001
george lynch,203.2,106.59412,1993
gary trent,203.2,113.398,1995
gary payton,193.04,81.64656,1990
fred jones,187.96,98.883056,2002
fred hoiberg,195.58,95.25432,1995
frank williams,190.5,92.98636,2002
eddy curry,210.82,129.27372,2001
flip murray,193.04,86.18248,2002
etan thomas,208.28,117.93392,2000
ervin johnson,210.82,115.66596,1993
erick strickland,190.5,95.25432,Undrafted
erick dampier,210.82,120.20188,1996
eric williams,203.2,99.79024,1995
eric snow,190.5,92.532768,1995
eric piatkowski,198.12,97.52228,1994
emanual davis,195.58,88.45044,Undrafted
elton brand,203.2,120.20188,1999
elden campbell,213.36,126.552168,1990
efthimios rentzias,210.82,113.398,1996
evan eschmeyer,210.82,115.66596,1999
randy brown,187.96,86.18248,1991
brevin knight,177.8,77.11064,1997
jumaine jones,203.2,98.883056,1999
zydrunas ilgauskas,220.98,117.93392,1996
chris wilcox,208.28,103.872568,2002
chris whitney,182.88,79.3786,1993
chris webber,208.28,111.13004,1993
chris mihm,213.36,120.20188,2000
chris kaman,213.36,121.562656,2003
chris jefferies,203.2,104.32616,2002
chris crawford,205.74,106.59412,1997
chris bosh,208.28,95.25432,2003
chris andersen,208.28,99.79024,Undrafted
cherokee parks,210.82,108.86208,1995
chauncey billups,190.5,91.625584,1997
charlie ward,187.96,83.91452,1994
charles oakley,205.74,111.13004,1985
cezary trybanski,218.44,108.86208,Undrafted
casey jacobsen,198.12,97.52228,2002
caron butler,200.66,98.429464,2002
carmelo anthony,203.2,99.79024,2003
carlos boozer,205.74,117.026736,2002
carlos arroyo,187.96,91.625584,Undrafted
calvin booth,210.82,104.779752,1999
calbert cheaney,200.66,98.429464,1993
bryon russell,200.66,102.0582,1993
bryce drew,190.5,83.46092800000001,1998
christian laettner,210.82,111.13004,1992
chucky atkins,180.34,72.57472,Undrafted
clar weatherspoon,200.66,122.46984,1992
clifford robinson,208.28,108.86208,1989
david wesley,185.42,92.079176,Undrafted
darvin ham,200.66,108.86208,Undrafted
darrick martin,180.34,77.11064,Undrafted
darrell armstrong,185.42,81.64656,Undrafted
darko milicic,213.36,111.13004,2003
darius songaila,205.74,112.490816,2002
darius miles,205.74,95.25432,2000
danny fortson,203.2,117.93392,1997
daniel santiago,215.9,117.93392,Undrafted
dana barros,180.34,74.84268,1989
dan langhi,210.82,99.79024,2000
bruno sundov,218.44,111.583632,1998
dan gadzuric,210.82,108.86208,2002
damone brown,203.2,91.625584,2001
damon stoudamire,177.8,77.56423199999999,1995
damon jones,190.5,83.91452,Undrafted
dale davis,210.82,114.305184,1991
dajuan wagner,187.96,90.7184,2002
dahntay jones,198.12,95.25432,2003
cuttino mobley,193.04,97.52228,1998
curtis borchardt,213.36,108.86208,2002
corliss williamson,200.66,111.13004,1995
corie blount,208.28,109.769264,1993
corey maggette,198.12,103.418976,1999
dan dickau,182.88,86.18248,2002
david west,205.74,108.86208,2003
bruce bowen,200.66,90.7184,Undrafted
brian skinner,205.74,120.20188,1998
antonio daniels,193.04,92.98636,1997
antonio davis,205.74,104.32616,1990
antonio mcdyess,205.74,111.13004,1995
austin croshere,208.28,109.769264,1997
avery johnson,180.34,83.91452,Undrafted
baron davis,190.5,101.151016,1999
ben handlogten,208.28,108.86208,Undrafted
ben wallace,205.74,108.86208,Undrafted
bimbo coles,187.96,82.553744,1990
bo outlaw,203.2,99.79024,Undrafted
bob sura,195.58,90.7184,1995
bobby jackson,185.42,83.91452,1997
bobby simmons,198.12,106.59412,2001
bonzi wells,195.58,95.25432,1998
boris diaw,203.2,97.52228,2003
bostjan nachbar,205.74,100.243832,2002
brad miller,213.36,118.38751200000002,Undrafted
brandon armstrong,195.58,83.91452,2001
brandon hunter,200.66,117.93392,2003
brendan haywood,213.36,121.562656,2001
brent barry,198.12,92.079176,1995
kareem rush,198.12,97.52228,2002
karl malone,205.74,117.480328,1985
antoine walker,205.74,111.13004,1996
anthony peeler,193.04,94.347136,1992
anthony johnson,190.5,86.18248,1997
anthony goldwire,187.96,82.553744,1994
brian scalabrine,205.74,108.86208,2001
brian grant,205.74,115.212368,1994
brian cook,205.74,106.140528,2003
aaron mckie,195.58,94.800728,1994
aaron williams,205.74,108.86208,Undrafted
adonal foyle,208.28,120.20188,1997
adrian griffin,195.58,104.32616,Undrafted
al harrington,205.74,113.398,1998
alan henderson,205.74,108.86208,1995
alex garcia,190.5,88.45044,Undrafted
allan houston,198.12,90.7184,1993
britton johnsen,208.28,95.25432,Undrafted
allen iverson,182.88,74.84268,1996
alton ford,205.74,127.00576,2001
alvin williams,195.58,83.91452,1997
amal mccaskill,210.82,106.59412,1996
amare stoudemire,208.28,111.13004,2002
andre miller,187.96,90.7184,1999
andrei kirilenko,205.74,102.0582,1999
andrew declercq,208.28,115.66596,1995
anfernee hardaway,200.66,97.52228,1993
ansu sesay,205.74,102.0582,1998
antawn jamison,205.74,102.0582,1998
anthony carter,187.96,88.45044,Undrafted
alonzo mourning,208.28,118.38751200000002,1992
kedrick brown,200.66,100.697424,2001
desagana diop,213.36,136.0776,2001
dermarr johnson,205.74,91.171992,2000
jason collins,213.36,117.93392,2001
jason collier,213.36,117.93392,2000
jarvis hayes,200.66,99.79024,2003
jarron collins,210.82,115.66596,2001
jared jeffries,210.82,104.32616,2002
jannero pargo,185.42,79.3786,Undrafted
jamison brewer,193.04,83.46092800000001,2001
james posey,203.2,97.52228,1999
james jones,203.2,97.52228,2003
jamal sampson,210.82,106.59412,2002
jamal mashburn,203.2,112.037224,1993
jamal crawford,195.58,86.18248,2000
jamaal tinsley,190.5,88.45044,2001
jamaal magloire,210.82,117.480328,2000
jalen rose,203.2,98.429464,1994
jake voskuhl,210.82,111.13004,2000
jake tsakalidis,218.44,131.54168,2000
jahidi white,205.74,131.54168,1998
jacque vaughn,185.42,86.18248,1997
jabari smith,210.82,108.86208,2000
jr bremer,187.96,83.91452,Undrafted
ira newble,200.66,99.79024,Undrafted
ime udoka,195.58,97.52228,Undrafted
jason hart,190.5,83.91452,2000
jason kapono,203.2,96.615096,2003
jason kidd,193.04,96.161504,1994
jason richardson,198.12,102.0582,2001
juan dixon,190.5,74.389088,2002
josh howard,200.66,95.25432,2003
josh davis,203.2,108.86208,Undrafted
jonathan bender,213.36,99.336648,1999
kaniel dickens,203.2,97.52228,2000
john wallace,205.74,102.0582,1996
john salmons,200.66,95.25432,2002
joel przybilla,215.9,115.66596,2000
joe smith,208.28,102.0582,1995
joe johnson,200.66,106.59412,2001
jiri welsch,200.66,94.347136,2002
hubert davis,195.58,83.007336,1992
jim jackson,198.12,99.79024,1992
jerome williams,205.74,93.439952,1996
jerome moiso,208.28,106.59412,2000
jerome james,215.9,123.377024,1998
jerome beasley,205.74,107.501304,2003
jermaine oneal,210.82,109.769264,1996
jelani mccoy,208.28,111.13004,1998
jeff trepagnier,193.04,90.7184,2001
jeff mcinnis,193.04,81.19296800000001,1996
jeff foster,210.82,109.769264,1999
jason williams,185.42,86.18248,1998
jason terry,187.96,81.64656,1999
jerry stackhouse,198.12,98.883056,1995
deshawn stevenson,195.58,95.25432,2000
howard eisley,187.96,81.64656,1994
hiram fuller,205.74,108.86208,Undrafted
eddie jones,198.12,90.7184,1994
eddie house,185.42,79.3786,2000
eddie gill,182.88,86.18248,Undrafted
earl watson,185.42,86.18248,2001
earl boykins,165.1,60.327736,Undrafted
dwyane wade,193.04,96.161504,2003
drew gooden,208.28,109.769264,2002
doug overton,190.5,86.18248,1991
doug christie,198.12,92.98636,1992
donyell marshall,205.74,104.32616,1994
donnell harvey,203.2,99.79024,2000
dirk nowitzki,213.36,111.13004,1998
dion glover,195.58,102.0582,1999
dikembe mutombo,218.44,120.20188,1991
devin brown,195.58,106.59412,Undrafted
devean george,203.2,108.86208,1999
desmond penigar,200.66,111.13004,Undrafted
desmond mason,195.58,100.697424,2000
desmond ferguson,200.66,95.25432,Undrafted
derrick dial,193.04,83.46092800000001,1998
derrick coleman,208.28,122.46984,1990
derek fisher,185.42,92.98636,1996
derek anderson,195.58,88.45044,1997
eddie robinson,205.74,95.25432,Undrafted
eddy curry,210.82,129.27372,2001
eduardo najera,203.2,106.59412,2000
elden campbell,213.36,126.552168,1990
hedo turkoglu,208.28,99.79024,2000
greg ostertag,218.44,127.00576,1995
greg buckner,193.04,95.25432,1998
gordan giricek,195.58,95.25432,1999
glenn robinson,200.66,108.86208,1994
glen rice,203.2,103.418976,1989
gilbert arenas,190.5,86.636072,2001
gerald wallace,200.66,97.52228,2001
george lynch,203.2,106.59412,1993
gary trent,203.2,113.398,1995
gary payton,193.04,81.64656,1990
horace grant,208.28,111.13004,1987
fred jones,187.96,98.883056,2002
frank williams,190.5,96.161504,2002
francisco elson,213.36,106.59412,1999
flip murray,193.04,86.18248,2002
etan thomas,208.28,117.93392,2000
ervin johnson,210.82,115.66596,1993
erick strickland,190.5,95.25432,Undrafted
erick dampier,210.82,120.20188,1996
eric williams,203.2,99.79024,1995
eric snow,190.5,92.532768,1995
eric piatkowski,200.66,97.52228,1994
elton brand,203.2,120.20188,1999
fred hoiberg,195.58,95.25432,1995
juwan howard,205.74,104.32616,1994
keith bogans,195.58,97.52228,2003
keith van horn,208.28,108.86208,1997
sam cassell,190.5,83.91452,1993
samaki walker,205.74,117.93392,1996
samuel dalembert,210.82,113.398,2001
sasha pavlovic,200.66,95.25432,2003
scot pollard,210.82,120.20188,1997
scott padgett,205.74,108.86208,1999
scott williams,208.28,117.93392,Undrafted
scottie pippen,203.2,103.418976,1987
sean lampley,198.12,96.615096,2001
sean rooks,208.28,117.93392,1992
shammond williams,185.42,91.171992,1998
shandon anderson,198.12,95.25432,1996
shane battier,203.2,99.79024,2001
shane heal,182.88,81.64656,Undrafted
shaquille oneal,215.9,154.22128,1992
shareef abdurrahim,205.74,111.13004,1996
shawn bradley,228.6,124.7378,1993
shawn marion,200.66,97.52228,1999
slava medvedenko,208.28,113.398,Undrafted
slavko vranes,226.06,124.7378,2003
speedy claxton,180.34,77.11064,2000
stacey augmon,203.2,96.615096,1991
stephen jackson,203.2,98.883056,1997
ryan humphrey,203.2,106.59412,2002
ryan bowen,205.74,99.79024,1998
rusty larue,190.5,83.91452,Undrafted
ruben patterson,195.58,101.604608,1998
rasual butler,200.66,92.98636,2002
raul lopez,182.88,72.57472,2001
ray allen,195.58,92.98636,1996
reece gaines,198.12,92.98636,2003
reggie evans,203.2,111.13004,Undrafted
reggie miller,200.66,88.45044,1987
richard hamilton,200.66,87.543256,1999
richard jefferson,200.66,100.697424,2001
richie frahm,195.58,95.25432,Undrafted
rick brunson,193.04,86.18248,Undrafted
rick fox,200.66,106.59412,1991
stephon marbury,187.96,92.98636,1996
ricky davis,200.66,88.45044,1998
robert horry,208.28,94.347136,1992
robert pack,187.96,86.18248,Undrafted
robert traylor,203.2,128.820128,1998
rod strickland,190.5,83.91452,1988
rodney buford,195.58,88.45044,1999
rodney rogers,200.66,115.66596,1993
rodney white,205.74,104.32616,2001
roger mason,195.58,90.7184,2002
ron mercer,200.66,95.25432,1997
ronald dupree,200.66,94.800728,Undrafted
ruben boumtjeboumtje,213.36,116.573144,2001
robert archibald,210.82,113.398,2002
rasho nesterovic,213.36,112.490816,1998
steve blake,190.5,78.017824,2003
steve nash,190.5,88.45044,1996
tyrone hill,205.74,113.398,1990
tyronn lue,182.88,80.73937600000001,1998
tyson chandler,215.9,106.59412,2001
udonis haslem,203.2,103.418976,Undrafted
vin baker,210.82,113.398,1993
vince carter,198.12,102.0582,1998
vitaly potapenko,208.28,129.27372,1996
vlade divac,215.9,117.93392,1989
vladimir radmanovic,208.28,106.140528,2001
vladimir stepania,215.9,115.66596,1998
voshon lenard,193.04,92.98636,1994
wally szczerbiak,200.66,106.59412,1999
walter mccarty,208.28,104.32616,1996
wang zhizhi,215.9,128.820128,1999
wesley person,198.12,90.7184,1994
willie green,193.04,90.7184,2003
yao ming,228.6,140.61352,2002
zach randolph,205.74,122.46984,2001
zarko cabarkapa,210.82,106.59412,2003
zaza pachulia,210.82,108.86208,2003
zeljko rebraca,213.36,116.573144,1994
zendon hamilton,210.82,108.86208,Undrafted
zoran planinic,200.66,88.45044,2003
troy murphy,210.82,111.13004,2001
troy hudson,185.42,77.11064,Undrafted
troy bell,185.42,81.64656,2003
trenton hassell,195.58,90.7184,2001
steven hunter,213.36,108.86208,2001
steven smith,203.2,100.243832,1991
stromile swift,205.74,104.32616,2000
tj ford,182.88,74.84268,2003
tamar slay,203.2,97.52228,2002
tayshaun prince,205.74,97.52228,2002
theo ratliff,208.28,106.59412,1995
theron smith,203.2,102.0582,Undrafted
tierre brown,187.96,85.728888,Undrafted
tim duncan,213.36,117.93392,1997
tim thomas,208.28,108.86208,1997
steve francis,190.5,90.7184,1999
tom gugliotta,208.28,113.398,1992
tony battie,210.82,108.86208,1997
tony delk,187.96,85.728888,1996
tony massenburg,205.74,113.398,1990
tony parker,187.96,81.64656,2001
torraye braggs,203.2,111.13004,1998
tracy mcgrady,203.2,95.25432,1997
tracy murray,200.66,104.32616,1992
travis best,180.34,83.91452,1995
travis hansen,198.12,92.98636,2003
travis outlaw,205.74,95.25432,2003
tremaine fowlkes,198.12,96.161504,1998
toni kukoc,210.82,106.59412,1990
keith mcleod,187.96,86.18248,Undrafted
rasheed wallace,210.82,104.32616,1995
randy livingston,193.04,94.800728,1996
lonny baxter,203.2,117.93392,2002
loren woods,218.44,118.38751200000002,2001
lorenzen wright,210.82,108.86208,1996
lucious harris,195.58,92.98636,1993
luke ridnour,187.96,79.3786,2003
luke walton,203.2,106.59412,2003
maciej lampe,210.82,108.86208,2003
malik allen,208.28,115.66596,Undrafted
malik rose,200.66,115.66596,1996
mamadou ndiaye,213.36,115.66596,2000
manu ginobili,198.12,95.25432,1999
marc jackson,208.28,114.758776,1997
marcus banks,187.96,90.7184,2003
marcus camby,210.82,102.0582,1996
marcus fizer,203.2,117.93392,2000
marcus haislip,208.28,104.32616,2002
mark blount,213.36,113.398,1997
mark jackson,190.5,88.45044,1987
mark madsen,205.74,111.13004,2000
mark pope,208.28,106.59412,1996
marko jaric,195.58,98.429464,2000
marquis daniels,198.12,90.7184,Undrafted
mateen cleaves,187.96,95.25432,2000
linton johnson,203.2,92.98636,Undrafted
lindsey hunter,187.96,88.45044,1993
leon smith,208.28,106.59412,1999
lee nailon,205.74,107.954896,1999
kelvin cato,210.82,124.7378,1997
kendall gill,195.58,97.975872,1990
kendrick perkins,208.28,127.00576,2003
kenny anderson,185.42,76.203456,1991
kenny thomas,200.66,111.13004,1999
kenyon martin,205.74,106.140528,2000
keon clark,210.82,100.243832,1998
kerry kittles,195.58,81.64656,1996
kevin garnett,210.82,108.86208,1995
kevin ollie,187.96,88.45044,Undrafted
kevin willis,213.36,111.13004,1984
matt barnes,200.66,106.59412,2002
keyon dooling,190.5,86.18248,2000
kirk penney,195.58,99.79024,Undrafted
kobe bryant,198.12,99.79024,1996
kurt thomas,205.74,106.59412,1995
kwame brown,210.82,112.490816,2001
kyle korver,200.66,95.25432,2003
lamar odom,208.28,102.0582,1999
lamond murray,200.66,107.047712,1994
larry hughes,195.58,83.46092800000001,1998
latrell sprewell,195.58,88.45044,1992
lebron james,203.2,108.86208,2003
leandro barbosa,190.5,79.83219199999998,2003
kirk hinrich,190.5,86.18248,2003
rashard lewis,208.28,97.52228,1998
matt carroll,198.12,96.161504,Undrafted
maurice carter,195.58,95.25432,Undrafted
nene,210.82,117.93392,2002
nick van exel,185.42,88.45044,1993
nikoloz tskitishvili,213.36,102.0582,2002
olden polynice,208.28,113.398,1987
oliver miller,205.74,142.88148,1992
omar cook,185.42,86.18248,2001
othella harrington,205.74,106.59412,1996
pj brown,210.82,108.408488,1992
pat garrity,205.74,107.954896,1998
pau gasol,213.36,108.86208,2001
paul grant,213.36,111.13004,1997
paul pierce,198.12,104.32616,1998
paul shirley,208.28,104.32616,Undrafted
peja stojakovic,208.28,103.872568,1996
popeye jones,203.2,120.20188,1992
predrag drobnjak,210.82,123.377024,1997
primoz brezec,215.9,114.305184,2000
quentin richardson,195.58,107.954896,2000
quincy lewis,200.66,97.52228,1999
qyntel woods,203.2,100.243832,2002
raef lafrentz,210.82,111.13004,1998
rafer alston,187.96,79.3786,1998
raja bell,195.58,95.25432,Undrafted
ndudi ebi,205.74,90.7184,2003
nazr mohammed,208.28,113.398,1998
morris peterson,200.66,97.52228,2000
moochie norris,187.96,85.275296,1996
maurice taylor,205.74,115.66596,1997
mehmet okur,210.82,112.944408,2001
melvin ely,208.28,118.38751200000002,2002
mengke bateer,210.82,131.54168,Undrafted
metta world peace,200.66,111.583632,1999
michael bradley,208.28,102.0582,2001
michael curry,195.58,95.25432,Undrafted
michael doleac,210.82,118.841104,1998
michael finley,200.66,102.0582,1995
michael olowokandi,213.36,122.46984,1998
michael redd,198.12,97.52228,2000
matt harpring,200.66,104.779752,1998
michael ruffin,203.2,111.583632,1999
michael sweetney,203.2,117.93392,2003
mickael pietrus,198.12,95.25432,2003
mike bibby,185.42,86.18248,1998
mike dunleavy,205.74,104.32616,2002
mike james,187.96,85.275296,Undrafted
mike miller,203.2,98.883056,2000
mike wilks,180.34,81.64656,Undrafted
mikki moore,213.36,102.0582,Undrafted
milt palacio,190.5,88.45044,Undrafted
mitchell butler,195.58,95.25432,Undrafted
mo williams,185.42,83.91452,2003
michael stewart,208.28,104.32616,Undrafted
jon barry,195.58,95.25432,1992
brian cardinal,203.2,111.13004,2000
aaron mckie,195.58,94.800728,1994
michael redd,198.12,97.068688,2000
michael olowokandi,213.36,122.46984,1998
michael finley,200.66,102.0582,1995
michael doleac,210.82,118.841104,1998
michael curry,195.58,95.25432,Undrafted
michael bradley,205.74,102.965384,2001
metta world peace,200.66,111.583632,1999
melvin ely,208.28,118.38751200000002,2002
mehmet okur,210.82,112.944408,2001
maurice taylor,205.74,115.66596,1997
maurice evans,195.58,99.79024,Undrafted
maurice baker,187.96,90.7184,Undrafted
matt harpring,200.66,104.779752,1998
matt freije,208.28,112.944408,2004
matt carroll,198.12,96.161504,Undrafted
matt bonner,208.28,108.86208,2003
matt barnes,200.66,102.511792,2002
mateen cleaves,187.96,95.25432,2000
marquis daniels,198.12,90.7184,Undrafted
marko jaric,200.66,98.429464,2000
mark pope,208.28,106.59412,1996
mark madsen,205.74,107.047712,2000
mark jones,198.12,97.52228,2004
mark blount,213.36,113.398,1997
mario kasun,213.36,117.93392,2002
michael ruffin,203.2,112.490816,1999
marcus haislip,208.28,104.32616,2002
michael stewart,208.28,104.32616,Undrafted
mickael pietrus,198.12,97.52228,2003
paul pierce,198.12,104.32616,1998
pau gasol,213.36,108.86208,2001
pat garrity,205.74,107.954896,1998
pape sow,208.28,113.398,2004
pj brown,210.82,108.408488,1992
othella harrington,205.74,106.59412,1996
omar cook,185.42,86.18248,2001
obinna ekezie,205.74,122.46984,1999
nikoloz tskitishvili,213.36,102.0582,2002
nick van exel,185.42,86.18248,1993
nick collison,205.74,115.66596,2003
nene,210.82,117.93392,2002
nenad krstic,213.36,108.86208,2002
ndudi ebi,205.74,88.45044,2003
nazr mohammed,208.28,113.398,1998
morris peterson,200.66,97.52228,2000
moochie norris,185.42,83.91452,1996
mo williams,185.42,85.728888,2003
milt palacio,190.5,95.25432,Undrafted
mikki moore,213.36,101.151016,Undrafted
mike wilks,177.8,81.64656,Undrafted
mike miller,203.2,98.883056,2000
mike james,187.96,85.275296,Undrafted
mike dunleavy,205.74,104.32616,2002
mike bibby,185.42,86.18248,1998
michael sweetney,203.2,122.46984,2003
paul shirley,208.28,104.32616,Undrafted
marcus fizer,203.2,117.93392,2000
marcus banks,187.96,90.7184,2003
kurt thomas,205.74,106.59412,1995
kris humphries,205.74,106.59412,2004
kobe bryant,198.12,99.79024,1996
kirk snyder,198.12,102.0582,2004
kirk penney,195.58,99.79024,Undrafted
kirk hinrich,190.5,86.18248,2003
keyon dooling,190.5,86.18248,2000
kevin willis,213.36,111.13004,1984
kevin ollie,187.96,88.45044,Undrafted
kevin martin,200.66,83.91452,2004
kevin garnett,210.82,99.79024,1995
kerry kittles,195.58,83.91452,1996
kenyon martin,205.74,106.140528,2000
kenny thomas,200.66,111.13004,1999
kenny anderson,185.42,76.203456,1991
kendrick perkins,208.28,127.00576,2003
kendall gill,195.58,97.975872,1990
kelvin cato,210.82,124.7378,1997
keith van horn,208.28,111.13004,1997
keith mcleod,187.96,86.18248,Undrafted
keith bogans,195.58,97.52228,2003
kedrick brown,200.66,100.697424,2001
kareem rush,198.12,97.52228,2002
kaniel dickens,203.2,97.52228,2000
juwan howard,205.74,104.32616,1994
kwame brown,210.82,110.222856,2001
marcus camby,210.82,102.0582,1996
kyle korver,198.12,95.707912,2003
lamond murray,200.66,106.59412,1994
marc jackson,208.28,114.758776,1997
manu ginobili,198.12,92.98636,1999
mamadou ndiaye,213.36,115.66596,2000
malik rose,200.66,111.13004,1996
malik allen,208.28,115.66596,Undrafted
maciej lampe,210.82,124.7378,2003
luol deng,203.2,99.79024,2004
luke walton,203.2,106.59412,2003
luke ridnour,185.42,75.749864,2003
luke jackson,200.66,97.52228,2004
luis flores,187.96,88.45044,2004
lucious harris,195.58,92.98636,1993
lorenzen wright,210.82,108.86208,1996
loren woods,215.9,117.93392,2001
lonny baxter,203.2,117.93392,2002
lionel chalmers,182.88,81.64656,2004
linton johnson,203.2,102.0582,Undrafted
lindsey hunter,187.96,88.45044,1993
lee nailon,205.74,107.954896,1999
leandro barbosa,190.5,85.275296,2003
lebron james,203.2,108.86208,2003
lawrence funderburke,205.74,104.32616,1994
latrell sprewell,195.58,88.45044,1992
larry hughes,195.58,83.46092800000001,1998
laron profit,195.58,92.532768,1999
lamar odom,208.28,102.0582,1999
pavel podkolzin,226.06,117.93392,2004
peja stojakovic,208.28,103.872568,1996
peter john ramos,220.98,124.7378,2004
travis outlaw,205.74,95.25432,2003
travis best,180.34,82.553744,1995
tracy mcgrady,203.2,95.25432,1997
torraye braggs,203.2,111.13004,1998
tony parker,187.96,80.28578399999998,2001
tony massenburg,205.74,113.398,1990
tony delk,187.96,85.728888,1996
tony bobbitt,193.04,86.18248,Undrafted
tony battie,210.82,108.86208,1997
tony allen,193.04,96.615096,2004
toni kukoc,210.82,106.59412,1990
tom gugliotta,208.28,113.398,1992
tim thomas,208.28,108.86208,1997
tim duncan,210.82,117.93392,1997
tierre brown,187.96,85.728888,Undrafted
theron smith,203.2,102.0582,Undrafted
theo ratliff,208.28,106.59412,1995
tayshaun prince,205.74,97.52228,2002
tamar slay,203.2,99.79024,2002
stromile swift,205.74,104.32616,2000
steven smith,203.2,100.243832,1991
steven hunter,213.36,108.86208,2001
steve nash,190.5,88.45044,1996
steve francis,190.5,90.7184,1999
steve blake,190.5,78.017824,2003
tremaine fowlkes,203.2,99.79024,1998
stephon marbury,187.96,90.7184,1996
trenton hassell,195.58,90.7184,2001
troy hudson,185.42,77.11064,Undrafted
wally szczerbiak,200.66,110.676448,1999
walter mccarty,208.28,104.32616,1996
wang zhizhi,215.9,128.820128,1999
wesley person,198.12,90.7184,1994
willie green,187.96,91.171992,2003
yao ming,228.6,140.61352,2002
yuta tabuse,175.26,74.84268,Undrafted
zach randolph,205.74,114.758776,2001
zarko cabarkapa,210.82,102.0582,2003
zaza pachulia,210.82,120.20188,2003
zeljko rebraca,213.36,120.20188,1994
zendon hamilton,210.82,115.212368,Undrafted
zoran planinic,200.66,90.7184,2003
zydrunas ilgauskas,220.98,117.93392,1996
voshon lenard,193.04,92.98636,1994
vladimir radmanovic,208.28,106.140528,2001
vlade divac,215.9,117.93392,1989
vitaly potapenko,208.28,129.27372,1996
vince carter,198.12,99.79024,1998
vin baker,210.82,108.86208,1993
viktor khryapa,205.74,95.25432,2004
udonis haslem,203.2,103.418976,Undrafted
tyson chandler,215.9,106.59412,2001
tyronn lue,182.88,80.73937600000001,1998
troy murphy,210.82,111.13004,2001
trevor ariza,203.2,90.7184,2004
stephen jackson,203.2,98.883056,1997
stacey augmon,203.2,92.079176,1991
speedy claxton,180.34,77.11064,2000
robert swift,213.36,111.13004,2004
robert horry,208.28,108.86208,1992
ricky davis,200.66,88.45044,1998
rick brunson,193.04,86.18248,Undrafted
richie frahm,195.58,95.25432,Undrafted
richard hamilton,200.66,87.543256,1999
reggie miller,200.66,88.45044,1987
reggie evans,203.2,111.13004,Undrafted
reece gaines,198.12,92.98636,2003
ray allen,195.58,92.98636,1996
raul lopez,182.88,79.3786,2001
rasual butler,200.66,92.98636,2002
rasho nesterovic,213.36,115.66596,1998
