Player,player_height,player_weight,year
detlef schrempf,208.28,106.59412,1985
derrick coleman,208.28,117.93392,1990
danny ferry,208.28,106.59412,1989
danny manning,208.28,106.140528,1988
darrell armstrong,185.42,81.64656,Undrafted
darrick martin,180.34,77.11064,Undrafted
darrin hancock,200.66,92.98636,1994
darvin ham,200.66,99.79024,Undrafted
david robinson,215.9,106.59412,1987
david vaughn,205.74,108.86208,1995
david wesley,185.42,89.811216,Undrafted
david wingate,195.58,83.91452,1986
david wood,205.74,104.32616,Undrafted
dean garrett,210.82,113.398,1988
dee brown,187.96,87.089664,1990
dell curry,195.58,92.98636,1986
dell demps,190.5,92.98636,Undrafted
dennis rodman,198.12,99.79024,1986
dennis scott,203.2,106.59412,1990
derek fisher,185.42,90.7184,1996
derek harper,193.04,93.439952,1983
derek strong,205.74,108.86208,1990
derrick alston,210.82,102.0582,1994
derrick mckey,205.74,92.98636,1987
brett szabo,210.82,104.32616,Undrafted
juwan howard,205.74,113.398,1994
keith askins,203.2,101.604608,Undrafted
scott burrell,200.66,102.511792,1993
scott williams,208.28,104.32616,Undrafted
scottie pippen,200.66,103.418976,1987
sean elliott,203.2,99.79024,1989
sean rooks,208.28,117.93392,1992
sedale threatt,187.96,83.91452,1983
shandon anderson,198.12,94.347136,1996
shane heal,182.88,81.64656,Undrafted
shaquille oneal,215.9,136.0776,1992
scott brooks,180.34,74.84268,Undrafted
shareef abdurrahim,205.74,104.32616,1996
shawn bradley,228.6,112.490816,1993
shawn kemp,208.28,116.119552,1989
shawn respert,187.96,83.91452,1995
shawnelle scott,210.82,113.398,1994
sherman douglas,185.42,88.45044,1989
stacey augmon,203.2,92.98636,1991
stacey king,210.82,113.398,1989
stanley roberts,213.36,131.54168,1991
stephen howard,205.74,111.13004,Undrafted
sharone wright,210.82,117.93392,1994
sasha danilovic,198.12,90.7184,1992
sarunas marciulionis,195.58,90.7184,1987
samaki walker,205.74,108.86208,1996
rex walters,193.04,86.18248,1993
richard manning,210.82,111.13004,1993
rick fox,200.66,112.944408,1991
rick mahorn,208.28,117.93392,1980
ricky pierce,193.04,97.52228,1982
rik smits,223.52,120.20188,1988
robert horry,208.28,99.79024,1992
robert pack,187.96,86.18248,Undrafted
robert parish,215.9,110.676448,1976
robert werdann,210.82,113.398,1992
rod strickland,190.5,83.91452,1988
rodney rogers,200.66,115.66596,1993
ron harper,198.12,97.975872,1986
rony seikaly,210.82,114.758776,1988
roy rogers,208.28,106.59412,1996
ruben nembhard,190.5,94.347136,Undrafted
rumeal robinson,187.96,88.45044,1990
sam cassell,190.5,83.91452,1993
sam mack,200.66,99.79024,Undrafted
sam mitchell,200.66,97.52228,1985
sam perkins,205.74,115.66596,1984
stephon marbury,187.96,81.64656,1996
rex chapman,193.04,88.45044,1988
steve hamer,213.36,111.13004,1996
steve nash,190.5,88.45044,1996
willie anderson,203.2,90.7184,1988
will perdue,213.36,108.86208,1988
wesley person,198.12,88.45044,1994
wayman tisdale,205.74,117.93392,1985
walter mccarty,208.28,104.32616,1996
walt williams,203.2,104.32616,1992
voshon lenard,193.04,92.98636,1994
vlade divac,215.9,117.93392,1989
vitaly potapenko,208.28,127.00576,1996
willie burton,203.2,95.25432,1990
vinny del negro,193.04,90.7184,1988
vin baker,210.82,111.13004,1993
vernon maxwell,193.04,86.18248,1988
tyus edney,177.8,68.945984,1995
tyrone hill,205.74,111.13004,1990
tyrone corbin,198.12,102.0582,1985
travis knight,213.36,106.59412,1996
travis best,180.34,82.553744,1995
tracy murray,200.66,103.418976,1992
tracy moore,193.04,90.7184,Undrafted
vincent askew,198.12,106.59412,1987
xavier mcdaniel,200.66,98.883056,1985
yinka dare,213.36,120.20188,1994
zan tabak,213.36,111.13004,1991
steve scheffler,205.74,113.398,1990
steven smith,203.2,97.52228,1991
stevin smith,187.96,94.347136,Undrafted
stojko vrankovic,218.44,117.93392,Undrafted
terrell brandon,180.34,81.64656,1991
terry cummings,205.74,113.398,1982
terry dehere,193.04,86.18248,1993
terry mills,208.28,113.398,1990
terry porter,190.5,88.45044,1985
theo ratliff,208.28,102.0582,1995
tim hardaway,182.88,88.45044,1989
tim kempton,208.28,111.13004,1986
tim legler,193.04,90.7184,Undrafted
todd day,198.12,85.275296,1992
todd fuller,210.82,115.66596,1996
tom chambers,208.28,99.79024,1981
tom gugliotta,208.28,108.86208,1992
tom hammonds,205.74,102.0582,1989
toni kukoc,210.82,105.233344,1990
tony delk,187.96,85.728888,1996
tony dumas,198.12,86.18248,1994
steve kerr,190.5,81.64656,1988
reggie williams,201.0,86.0,1987
reggie slater,200.66,97.52228,Undrafted
reggie miller,200.66,83.91452,1987
lindsey hunter,187.96,88.45044,1993
lionel simmons,200.66,95.25432,1990
litterial green,185.42,83.91452,1992
tony smith,193.04,92.98636,1990
loren meyer,208.28,117.93392,1995
lorenzen wright,210.82,108.86208,1996
