feature,correlation,abs_correlation
3PAr_t1,-0.12099864365781766,0.12099864365781766
eFG%_t1,-0.12074968124495722,0.12074968124495722
FTr,0.11331556941728851,0.11331556941728851
2P%_t1,-0.11292278835390825,0.11292278835390825
TOV%_t1,-0.10552523958731434,0.10552523958731434
TS%_t2,0.10461044318145982,0.10461044318145982
ORB%_t2,-0.10433496250286713,0.10433496250286713
FTr_t1,0.09514686258600906,0.09514686258600906
FG%_t1,-0.0937343845904159,0.0937343845904159
G_t1,0.0895247651810646,0.0895247651810646
TS%_t1,-0.08532163894166248,0.08532163894166248
3P%,0.08395302401802986,0.08395302401802986
FT%,0.08290301344412751,0.08290301344412751
3PAr_t2,-0.07603830837305833,0.07603830837305833
STL%_t2,0.07584870813034786,0.07584870813034786
TRB%_t1,-0.07280400305356124,0.07280400305356124
STL_per_36,0.07183798302995194,0.07183798302995194
DRB%_t2,0.06763835538230628,0.06763835538230628
BLK%_t1,-0.06705686670241993,0.06705686670241993
FG%_t2,0.06599192377249095,0.06599192377249095
3PAr,-0.06494780424956854,0.06494780424956854
DBPM_t2,0.06404315897823401,0.06404315897823401
eFG%_t2,0.05959215860008252,0.05959215860008252
3P%_t2,0.055234330702549676,0.055234330702549676
BLK%,-0.05446500706620666,0.05446500706620666
DBPM_t1,0.054305744778010256,0.054305744778010256
TS%,0.05219887867746036,0.05219887867746036
STL%,0.0516554440188464,0.0516554440188464
DRB%,0.051228332568961275,0.051228332568961275
DBPM,0.04867634892518544,0.04867634892518544
BLK%_t2,-0.043571565463412266,0.043571565463412266
BLK_per_36,-0.04183472142126489,0.04183472142126489
TOV%,-0.03481588327497729,0.03481588327497729
FG%,0.03400334639782653,0.03400334639782653
FT%_t1,-0.03094556419708358,0.03094556419708358
2P%_t2,0.028047578530434308,0.028047578530434308
eFG%,0.024603627157438468,0.024603627157438468
Age,-0.02201155742542412,0.02201155742542412
Age_t2,0.018892202678600395,0.018892202678600395
TRB%,-0.015265810815190172,0.015265810815190172
TRB%_t2,0.007905548058743406,0.007905548058743406
2P%,0.007735741529165144,0.007735741529165144
3P%_t1,-0.007686821639931208,0.007686821639931208
TOV%_t2,-0.005743863278530614,0.005743863278530614
DRB%_t1,-0.005033455497206732,0.005033455497206732
STL%_t1,-0.004414100657597154,0.004414100657597154
TRB_per_36,-0.004274669583724133,0.004274669583724133
