Player,year,YRS,is_retained,age,has_playoff_exp,Cap_Pct,2P%_reg,2PA_reg,2P_reg,3P%_reg,3PA_reg,3PAr_reg,3P_reg,AST%_reg,AST_reg,BLK%_reg,BLK_reg,BPM_reg,DBPM_reg,DRB%_reg,DRB_reg,DWS_reg,FG%_reg,FGA_reg,FG_reg,FT%_reg,FTA_reg,FT_reg,FTr_reg,GS_reg,G_reg,MP_reg,OBPM_reg,ORB%_reg,ORB_reg,OWS_reg,PER_reg,PF_reg,PTS_reg,STL%_reg,STL_reg,TOV%_reg,TOV_reg,TRB%_reg,TRB_reg,TS%_reg,USG%_reg,VORP_reg,WS/48_reg,WS_reg,eFG%_reg,2P%_playoff,2PA_playoff,2P_playoff,3P%_playoff,3PA_playoff,3PAr_playoff,3P_playoff,AST%_playoff,AST_playoff,BLK%_playoff,BLK_playoff,BPM_playoff,DBPM_playoff,DRB%_playoff,DRB_playoff,DWS_playoff,FG%_playoff,FGA_playoff,FG_playoff,FT%_playoff,FTA_playoff,FT_playoff,FTr_playoff,GS_playoff,G_playoff,MP_playoff,OBPM_playoff,ORB%_playoff,ORB_playoff,OWS_playoff,PER_playoff,PF_playoff,PTS_playoff,STL%_playoff,STL_playoff,TOV%_playoff,TOV_playoff,TRB%_playoff,TRB_playoff,TS%_playoff,USG%_playoff,VORP_playoff,WS/48_playoff,WS_playoff,eFG%_playoff
george hill,2017,3,0,30.0,0,0.2018,0.5101,7.109999999999999,3.67,0.39549999999999996,4.5600000000000005,0.3917,1.78,22.33,4.17,0.63,0.22,3.17,0.85,11.0,3.13,2.1100000000000003,0.4662,11.68,5.45,0.7865,3.26,2.5700000000000003,0.27580000000000005,53.599999999999994,55.3,31.880000000000003,2.35,2.09,0.61,3.7600000000000002,17.91,2.27,15.3,1.69,1.03,10.84,1.5899999999999999,6.609999999999999,3.74,0.5818,21.25,2.12,0.16699999999999998,5.890000000000001,0.5436000000000001,0.5101,7.109999999999999,3.67,0.39549999999999996,4.5600000000000005,0.3917,1.78,22.33,4.17,0.63,0.22,3.17,0.85,11.0,3.13,2.1100000000000003,0.4662,11.68,5.45,0.7865,3.26,2.5700000000000003,0.27580000000000005,53.599999999999994,55.3,31.880000000000003,2.35,2.09,0.61,3.7600000000000002,17.91,2.27,15.3,1.69,1.03,10.84,1.5899999999999999,6.609999999999999,3.74,0.5818,21.25,2.12,0.16699999999999998,5.890000000000001,0.5436000000000001
jeff teague,2017,3,0,28.0,0,0.1917,0.4729,8.56,4.049999999999999,0.3674,3.16,0.2682,1.17,36.099999999999994,7.07,1.03,0.37,2.0700000000000003,-0.05,10.32,2.91,2.66,0.4447,11.739999999999998,5.22,0.857,4.6,3.95,0.3953,78.8,79.3,30.849999999999998,2.1399999999999997,1.5,0.4,4.6899999999999995,19.089999999999996,2.01,15.540000000000001,2.16,1.2999999999999998,16.43,2.7,6.0,3.31,0.5654999999999999,24.090000000000003,2.53,0.1437,7.359999999999999,0.4945,0.4729,8.56,4.049999999999999,0.3674,3.16,0.2682,1.17,36.099999999999994,7.07,1.03,0.37,2.0700000000000003,-0.05,10.32,2.91,2.66,0.4447,11.739999999999998,5.22,0.857,4.6,3.95,0.3953,78.8,79.3,30.849999999999998,2.1399999999999997,1.5,0.4,4.6899999999999995,19.089999999999996,2.01,15.540000000000001,2.16,1.2999999999999998,16.43,2.7,6.0,3.31,0.5654999999999999,24.090000000000003,2.53,0.1437,7.359999999999999,0.4945
joe ingles,2017,4,1,29.0,0,0.1427,0.4934,1.73,0.8300000000000001,0.4075,3.0,0.6403,1.23,15.59,2.17,0.33999999999999997,0.07,0.6200000000000001,1.8499999999999999,12.620000000000001,2.31,2.3,0.43679999999999997,4.73,2.08,0.7341,0.56,0.44,0.1167,20.0,81.1,20.83,-1.23,1.54,0.27,1.31,11.21,1.6800000000000002,5.81,2.45,0.99,18.65,1.13,7.13,2.6100000000000003,0.5802,13.58,1.17,0.1006,3.63,0.5673999999999999,0.4934,1.73,0.8300000000000001,0.4075,3.0,0.6403,1.23,15.59,2.17,0.33999999999999997,0.07,0.6200000000000001,1.8499999999999999,12.620000000000001,2.31,2.3,0.43679999999999997,4.73,2.08,0.7341,0.56,0.44,0.1167,20.0,81.1,20.83,-1.23,1.54,0.27,1.31,11.21,1.6800000000000002,5.81,2.45,0.99,18.65,1.13,7.13,2.6100000000000003,0.5802,13.58,1.17,0.1006,3.63,0.5673999999999999
dion waiters,2017,4,1,25.0,0,0.111,0.4315,8.41,3.66,0.3643,3.9000000000000004,0.31600000000000006,1.4100000000000001,17.28,3.15,0.8600000000000001,0.32,-1.55,-0.48000000000000004,9.33,2.46,1.6300000000000001,0.41090000000000004,12.29,5.07,0.6729,2.44,1.62,0.199,30.6,62.4,28.85,-1.07,1.69,0.45,0.07,12.25,1.9700000000000002,13.200000000000001,1.74,0.97,12.27,1.83,5.539999999999999,2.91,0.4931,22.96,0.08999999999999997,0.0473,1.6500000000000001,0.46900000000000003,0.4315,8.41,3.66,0.3643,3.9000000000000004,0.31600000000000006,1.4100000000000001,17.28,3.15,0.8600000000000001,0.32,-1.55,-0.48000000000000004,9.33,2.46,1.6300000000000001,0.41090000000000004,12.29,5.07,0.6729,2.44,1.62,0.199,30.6,62.4,28.85,-1.07,1.69,0.45,0.07,12.25,1.9700000000000002,13.200000000000001,1.74,0.97,12.27,1.83,5.539999999999999,2.91,0.4931,22.96,0.08999999999999997,0.0473,1.6500000000000001,0.46900000000000003
kevin durant,2017,2,1,28.0,0,0.2523,0.5876999999999999,11.780000000000001,6.91,0.3842,5.6899999999999995,0.3244,2.21,23.25,4.72,3.09,1.34,9.420000000000002,1.86,22.080000000000002,7.279999999999999,3.25,0.522,17.47,9.120000000000001,0.8776999999999999,6.43,5.640000000000001,0.3685,58.0,58.0,34.2,7.59,2.08,0.6,8.059999999999999,27.78,1.8199999999999998,26.09,1.4,1.03,11.65,2.6900000000000004,12.6,7.93,0.6423000000000001,28.9,5.75,0.27040000000000003,11.309999999999999,0.5845,0.5876999999999999,11.780000000000001,6.91,0.3842,5.6899999999999995,0.3244,2.21,23.25,4.72,3.09,1.34,9.420000000000002,1.86,22.080000000000002,7.279999999999999,3.25,0.522,17.47,9.120000000000001,0.8776999999999999,6.43,5.640000000000001,0.3685,58.0,58.0,34.2,7.59,2.08,0.6,8.059999999999999,27.78,1.8199999999999998,26.09,1.4,1.03,11.65,2.6900000000000004,12.6,7.93,0.6423000000000001,28.9,5.75,0.27040000000000003,11.309999999999999,0.5845
kelly olynyk,2017,4,0,25.0,0,0.1211999999999999,0.5574,4.7,2.62,0.36829999999999996,2.74,0.36860000000000004,1.01,13.61,1.79,1.71,0.47000000000000003,0.7999999999999999,0.72,18.509999999999998,3.46,1.97,0.48750000000000004,7.49,3.64,0.7278,1.79,1.3199999999999998,0.2416,8.0,71.0,20.75,0.11000000000000001,5.67,1.08,2.0300000000000002,15.72,2.78,9.56,1.7,0.74,13.4,1.2800000000000002,12.099999999999998,4.57,0.5814,19.990000000000002,1.03,0.1298,3.9999999999999996,0.5554,0.5574,4.7,2.62,0.36829999999999996,2.74,0.36860000000000004,1.01,13.61,1.79,1.71,0.47000000000000003,0.7999999999999999,0.72,18.509999999999998,3.46,1.97,0.48750000000000004,7.49,3.64,0.7278,1.79,1.3199999999999998,0.2416,8.0,71.0,20.75,0.11000000000000001,5.67,1.08,2.0300000000000002,15.72,2.78,9.56,1.7,0.74,13.4,1.2800000000000002,12.099999999999998,4.57,0.5814,19.990000000000002,1.03,0.1298,3.9999999999999996,0.5554
pau gasol,2017,3,1,36.0,0,0.1614999999999999,0.4894,10.65,5.25,0.4658,1.1600000000000001,0.1113,0.5800000000000001,16.740000000000002,2.92,3.96,1.53,4.17,1.56,27.53,7.57,3.5999999999999996,0.4905,11.8,5.76,0.7517,3.59,2.7199999999999998,0.30289999999999995,56.7,69.2,29.119999999999997,2.6900000000000004,7.829999999999999,2.07,3.81,21.15,1.8599999999999999,14.850000000000001,0.77,0.44,11.280000000000001,1.7399999999999998,17.88,9.56,0.5577000000000001,22.97,3.19,0.1771,7.41,0.5183,0.4894,10.65,5.25,0.4658,1.1600000000000001,0.1113,0.5800000000000001,16.740000000000002,2.92,3.96,1.53,4.17,1.56,27.53,7.57,3.5999999999999996,0.4905,11.8,5.76,0.7517,3.59,2.7199999999999998,0.30289999999999995,56.7,69.2,29.119999999999997,2.6900000000000004,7.829999999999999,2.07,3.81,21.15,1.8599999999999999,14.850000000000001,0.77,0.44,11.280000000000001,1.7399999999999998,17.88,9.56,0.5577000000000001,22.97,3.19,0.1771,7.41,0.5183
andre iguodala,2017,3,1,33.0,1,0.1495,0.6071,3.2800000000000002,1.97,0.35609999999999997,2.4299999999999997,0.4243,0.8400000000000001,16.16,3.3200000000000003,1.17,0.4,1.76,1.52,12.43,3.17,2.6399999999999997,0.5006,5.74,2.8600000000000003,0.6564,1.34,0.8700000000000001,0.2368,0.3,72.9,26.509999999999998,0.26,3.0,0.71,3.1999999999999997,13.27,1.3900000000000001,7.46,1.92,1.07,13.27,0.9800000000000001,7.95,3.86,0.5921000000000001,11.89,1.8699999999999999,0.14350000000000002,5.79,0.5761000000000001,0.5992999999999999,3.92,2.3600000000000003,0.2813,2.89,0.42279999999999995,0.83,16.33,3.46,1.18,0.38,1.8499999999999999,1.75,12.3,3.3600000000000003,0.71,0.46509999999999996,6.8100000000000005,3.2199999999999998,0.5398000000000001,2.14,1.1,0.3089,1.5,19.4,28.740000000000002,0.09999999999999998,3.31,0.9099999999999999,0.8099999999999999,12.469999999999999,1.75,8.35,1.77,1.05,10.81,0.94,8.040000000000001,4.27,0.5336000000000001,13.25,0.6,0.1234,1.52,0.5246999999999999
patty mills,2017,4,1,28.0,0,0.1081,0.46349999999999997,3.33,1.57,0.39039999999999997,4.12,0.5513,1.5899999999999999,21.560000000000002,2.9299999999999997,0.18,0.03,1.19,0.27,7.81,1.45,2.06,0.42369999999999997,7.5,3.16,0.8205,0.87,0.7,0.1168,4.9,74.5,20.24,0.94,1.97,0.32,2.23,14.58,1.31,8.68,1.85,0.71,11.66,1.06,4.98,1.8,0.5505,20.08,1.33,0.1286,4.27,0.5311,0.46349999999999997,3.33,1.57,0.39039999999999997,4.12,0.5513,1.5899999999999999,21.560000000000002,2.9299999999999997,0.18,0.03,1.19,0.27,7.81,1.45,2.06,0.42369999999999997,7.5,3.16,0.8205,0.87,0.7,0.1168,4.9,74.5,20.24,0.94,1.97,0.32,2.23,14.58,1.31,8.68,1.85,0.71,11.66,1.06,4.98,1.8,0.5505,20.08,1.33,0.1286,4.27,0.5311
tony snell,2017,4,1,25.0,0,0.0991,0.4868,2.5,1.2200000000000002,0.3855,3.46,0.5713,1.37,6.38,1.08,0.6699999999999999,0.23,-2.33,-0.52,12.02,2.6399999999999997,1.19,0.4249,6.029999999999999,2.59,0.8377000000000001,0.66,0.5700000000000001,0.1122,54.3,73.6,24.61,-1.81,1.53,0.32,1.1400000000000001,8.809999999999999,1.52,7.04,1.02,0.52,10.4,0.73,6.890000000000001,2.96,0.5549,12.98,-0.03999999999999998,0.0567,2.3,0.5356,0.4868,2.5,1.2200000000000002,0.3855,3.46,0.5713,1.37,6.38,1.08,0.6699999999999999,0.23,-2.33,-0.52,12.02,2.6399999999999997,1.19,0.4249,6.029999999999999,2.59,0.8377000000000001,0.66,0.5700000000000001,0.1122,54.3,73.6,24.61,-1.81,1.53,0.32,1.1400000000000001,8.809999999999999,1.52,7.04,1.02,0.52,10.4,0.73,6.890000000000001,2.96,0.5549,12.98,-0.03999999999999998,0.0567,2.3,0.5356
